rskpovth,sex,geo,year,deprivation_rate
Below 60%,Total,Poland,2010,28.0
Below 60%,Total,Poland,2011,23.8
Below 60%,Total,Poland,2012,22.9
Below 60%,Total,Poland,2013,20.8
Below 60%,Total,Poland,2014,19.9
Below 60%,Total,Poland,2015,19.8
Below 60%,Total,Poland,2016,19.7
Below 60%,Total,Poland,2017,16.0
Below 60%,Total,Poland,2018,15.8
Below 60%,Total,Poland,2019,13.0
Below 60%,Total,Poland,2023,8.0
Below 60%,Total,Portugal,2004,13.0
Below 60%,Total,Portugal,2005,13.8
Below 60%,Total,Portugal,2006,11.8
Below 60%,Total,Portugal,2007,13.4
Below 60%,Total,Portugal,2008,12.4
Below 60%,Total,Portugal,2009,10.6
Below 60%,Total,Portugal,2010,10.6
Below 60%,Total,Portugal,2011,8.2
Below 60%,Total,Portugal,2012,7.8
Below 60%,Total,Portugal,2013,11.4
Below 60%,Total,Portugal,2014,13.1
Below 60%,Total,Portugal,2015,11.2
Below 60%,Total,Portugal,2016,11.3
Below 60%,Total,Portugal,2017,9.3
Below 60%,Total,Portugal,2018,8.7
Below 60%,Total,Portugal,2019,10.4
Below 60%,Total,Portugal,2020,7.2
Below 60%,Total,Portugal,2023,14.8
Below 60%,Total,Romania,2007,52.8
Below 60%,Total,Romania,2008,53.3
Below 60%,Total,Romania,2009,52.1
Below 60%,Total,Romania,2010,50.6
Below 60%,Total,Romania,2011,50.0
Below 60%,Total,Romania,2012,47.9
Below 60%,Total,Romania,2013,48.8
Below 60%,Total,Romania,2014,45.2
Below 60%,Total,Romania,2015,44.7
Below 60%,Total,Romania,2016,42.7
Below 60%,Total,Romania,2017,36.7
Below 60%,Total,Romania,2018,37.4
Below 60%,Total,Romania,2019,34.9
Below 60%,Total,Romania,2020,35.7
Below 60%,Total,Romania,2023,26.2
Below 60%,Total,Slovenia,2005,21.1
Below 60%,Total,Slovenia,2006,19.2
Below 60%,Total,Slovenia,2007,22.6
Below 60%,Total,Slovenia,2008,26.8
Below 60%,Total,Slovenia,2009,24.6
Below 60%,Total,Slovenia,2010,25.4
Below 60%,Total,Slovenia,2011,16.2
Below 60%,Total,Slovenia,2012,16.9
Below 60%,Total,Slovenia,2013,14.1
Below 60%,Total,Slovenia,2014,12.5
Below 60%,Total,Slovenia,2015,12.5
Below 60%,Total,Slovenia,2016,9.6
Below 60%,Total,Slovenia,2017,7.9
Below 60%,Total,Slovenia,2018,8.6
Below 60%,Total,Slovenia,2019,7.2
Below 60%,Total,Slovenia,2020,6.5
Below 60%,Total,Slovenia,2023,8.5
Below 60%,Total,Slovakia,2005,13.1
Below 60%,Total,Slovakia,2006,11.7
Below 60%,Total,Slovakia,2007,12.4
Below 60%,Total,Slovakia,2008,11.9
Below 60%,Total,Slovakia,2009,11.3
Below 60%,Total,Slovakia,2010,10.7
Below 60%,Total,Slovakia,2011,14.4
Below 60%,Total,Slovakia,2012,15.3
Below 60%,Total,Slovakia,2013,16.3
Below 60%,Total,Slovakia,2014,19.7
Below 60%,Total,Slovakia,2015,15.2
Below 60%,Total,Slovakia,2016,16.0
Below 60%,Total,Slovakia,2017,20.7
Below 60%,Total,Slovakia,2018,14.3
Below 60%,Total,Slovakia,2019,14.9
Below 60%,Total,Slovakia,2020,11.5
Below 60%,Total,Slovakia,2023,15.2
Below 60%,Total,Finland,2004,2.3
Below 60%,Total,Finland,2005,3.5
Below 60%,Total,Finland,2006,2.7
Below 60%,Total,Finland,2007,2.2
Below 60%,Total,Finland,2008,1.6
Below 60%,Total,Finland,2009,2.5
Below 60%,Total,Finland,2010,2.2
Below 60%,Total,Finland,2011,1.8
Below 60%,Total,Finland,2012,2.8
Below 60%,Total,Finland,2013,2.7
Below 60%,Total,Finland,2014,1.9
Below 60%,Total,Finland,2015,2.0
Below 60%,Total,Finland,2016,3.2
Below 60%,Total,Finland,2017,2.4
Below 60%,Total,Finland,2018,2.3
Below 60%,Total,Finland,2019,1.6
Below 60%,Total,Finland,2020,3.2
Below 60%,Total,Finland,2023,3.1
Below 60%,Total,Sweden,2004,5.4
Below 60%,Total,Sweden,2005,3.4
Below 60%,Total,Sweden,2006,4.7
Below 60%,Total,Sweden,2007,4.2
Below 60%,Total,Sweden,2008,6.0
Below 60%,Total,Sweden,2009,3.1
Below 60%,Total,Sweden,2010,5.6
Below 60%,Total,Sweden,2011,6.2
Below 60%,Total,Sweden,2012,4.5
Below 60%,Total,Sweden,2013,5.6
Below 60%,Total,Sweden,2014,6.9
Below 60%,Total,Sweden,2015,7.9
Below 60%,Total,Sweden,2016,6.8
Below 60%,Total,Sweden,2017,7.4
Below 60%,Total,Sweden,2018,8.4
Below 60%,Total,Sweden,2019,8.1
Below 60%,Total,Sweden,2020,5.4
Below 60%,Total,Sweden,2023,6.4
Below 60%,Total,Iceland,2004,4.5
Below 60%,Total,Iceland,2005,2.5
Below 60%,Total,Iceland,2006,2.9
Below 60%,Total,Iceland,2007,4.7
Below 60%,Total,Iceland,2008,2.8
Below 60%,Total,Iceland,2009,2.5
Below 60%,Total,Iceland,2010,3.9
Below 60%,Total,Iceland,2011,4.1
Below 60%,Total,Iceland,2012,5.9
Below 60%,Total,Iceland,2013,7.6
Below 60%,Total,Iceland,2014,4.4
Below 60%,Total,Iceland,2015,7.2
Below 60%,Total,Iceland,2016,1.8
Below 60%,Total,Iceland,2017,2.3
Below 60%,Total,Iceland,2018,4.6
Below 60%,Total,Iceland,2019,10.1
Below 60%,Total,Iceland,2020,3.4
Below 60%,Total,Norway,2003,4.2
Below 60%,Total,Norway,2004,4.5
Below 60%,Total,Norway,2005,4.7
Below 60%,Total,Norway,2006,5.3
Below 60%,Total,Norway,2007,5.1
Below 60%,Total,Norway,2008,4.9
Below 60%,Total,Norway,2009,3.5
Below 60%,Total,Norway,2010,7.9
Below 60%,Total,Norway,2011,7.4
Below 60%,Total,Norway,2012,5.3
Below 60%,Total,Norway,2013,6.5
Below 60%,Total,Norway,2014,4.4
Below 60%,Total,Norway,2015,3.7
Below 60%,Total,Norway,2016,5.3
Below 60%,Total,Norway,2017,3.7
Below 60%,Total,Norway,2018,2.7
Below 60%,Total,Norway,2019,3.9
Below 60%,Total,Norway,2020,5.8
Below 60%,Total,Norway,2023,4.2
Below 60%,Total,Switzerland,2007,5.2
Below 60%,Total,Switzerland,2008,1.9
Below 60%,Total,Switzerland,2009,3.5
Below 60%,Total,Switzerland,2010,4.0
Below 60%,Total,Switzerland,2011,2.5
Below 60%,Total,Switzerland,2012,3.5
Below 60%,Total,Switzerland,2013,2.7
Below 60%,Total,Switzerland,2014,4.9
Below 60%,Total,Switzerland,2015,4.3
Below 60%,Total,Switzerland,2016,6.1
Below 60%,Total,Switzerland,2017,6.3
Below 60%,Total,Switzerland,2018,4.4
Below 60%,Total,Switzerland,2019,2.4
Below 60%,Total,Switzerland,2020,3.9
Below 60%,Total,Switzerland,2023,1.6
Below 60%,Total,Albania,2017,34.3
Below 60%,Total,Albania,2018,39.1
Below 60%,Total,Albania,2019,33.0
Below 60%,Total,Albania,2020,26.1
Below 60%,Total,Albania,2023,20.6
Below 60%,Total,Montenegro,2013,38.1
Below 60%,Total,Montenegro,2014,36.5
Below 60%,Total,Montenegro,2015,35.0
Below 60%,Total,Montenegro,2016,30.6
Below 60%,Total,Montenegro,2017,28.6
Below 60%,Total,Montenegro,2018,30.9
Below 60%,Total,Montenegro,2019,31.1
Below 60%,Total,Montenegro,2020,31.9
Below 60%,Total,Montenegro,2023,22.2
Below 60%,Total,North Macedonia,2011,24.7
Below 60%,Total,North Macedonia,2012,22.5
Below 60%,Total,North Macedonia,2013,25.6
Below 60%,Total,North Macedonia,2014,25.5
Below 60%,Total,North Macedonia,2015,20.7
Below 60%,Total,North Macedonia,2016,27.5
Below 60%,Total,North Macedonia,2017,22.0
Below 60%,Total,North Macedonia,2018,25.6
Below 60%,Total,North Macedonia,2019,21.9
Below 60%,Total,North Macedonia,2020,23.2
Below 60%,Total,North Macedonia,2023,16.6
Below 60%,Total,Serbia,2013,27.3
Below 60%,Total,Serbia,2014,25.6
Below 60%,Total,Serbia,2015,25.4
Below 60%,Total,Serbia,2016,25.2
Below 60%,Total,Serbia,2017,25.1
Below 60%,Total,Serbia,2018,22.5
Below 60%,Total,Serbia,2019,23.1
Below 60%,Total,Serbia,2020,18.6
Below 60%,Total,Serbia,2023,13.8
Below 60%,Total,Türkiye,2006,57.0
Below 60%,Total,Türkiye,2007,56.9
Below 60%,Total,Türkiye,2008,55.2
Below 60%,Total,Türkiye,2009,56.9
Below 60%,Total,Türkiye,2010,59.1
Below 60%,Total,Türkiye,2011,55.0
Below 60%,Total,Türkiye,2012,54.7
Below 60%,Total,Türkiye,2013,52.1
Below 60%,Total,Türkiye,2014,51.2
Below 60%,Total,Türkiye,2015,50.5
Below 60%,Total,Türkiye,2016,50.0
Below 60%,Total,Türkiye,2017,49.7
Below 60%,Total,Türkiye,2018,47.3
Below 60%,Total,Türkiye,2019,46.0
Below 60%,Total,Türkiye,2020,42.0
Below 60%,Total,Türkiye,2023,36.9
Below 60%,Total,United Kingdom,2005,6.1
Below 60%,Total,United Kingdom,2006,3.8
Below 60%,Total,United Kingdom,2007,3.7
Below 60%,Total,United Kingdom,2008,4.7
Below 60%,Total,United Kingdom,2009,6.6
Below 60%,Total,United Kingdom,2010,6.6
Below 60%,Total,United Kingdom,2011,2.6
Below 60%,Total,United Kingdom,2012,4.2
Below 60%,Total,United Kingdom,2013,3.7
Below 60%,Total,United Kingdom,2014,5.4
Below 60%,Total,United Kingdom,2015,5.1
Below 60%,Total,United Kingdom,2016,4.0
Below 60%,Total,United Kingdom,2017,2.2
Below 60%,Total,United Kingdom,2018,4.0
Below 60%,Total,Kosovo*,2018,31.5
Above 60%,Total,Belgium,2003,1.6
Above 60%,Total,Belgium,2004,0.9
Above 60%,Total,Belgium,2005,0.7
Above 60%,Total,Belgium,2006,0.5
Above 60%,Total,Belgium,2007,0.6
Above 60%,Total,Belgium,2008,0.4
Above 60%,Total,Belgium,2009,0.6
Above 60%,Total,Belgium,2010,1.2
Above 60%,Total,Belgium,2011,0.4
Above 60%,Total,Belgium,2012,0.3
Above 60%,Total,Belgium,2013,0.2
Above 60%,Total,Belgium,2014,0.3
Above 60%,Total,Belgium,2015,0.3
Above 60%,Total,Belgium,2016,0.9
Above 60%,Total,Belgium,2017,1.2
Above 60%,Total,Belgium,2018,1.0
Above 60%,Total,Belgium,2019,1.3
Above 60%,Total,Belgium,2020,1.7
Above 60%,Total,Belgium,2023,1.1
Above 60%,Total,Bulgaria,2006,17.7
Above 60%,Total,Bulgaria,2007,11.0
Above 60%,Total,Bulgaria,2008,18.6
Above 60%,Total,Bulgaria,2009,14.1
Above 60%,Total,Bulgaria,2010,9.4
Above 60%,Total,Bulgaria,2011,8.4
Above 60%,Total,Bulgaria,2012,7.7
Above 60%,Total,Bulgaria,2013,7.0
Above 60%,Total,Bulgaria,2014,6.9
Above 60%,Total,Bulgaria,2015,6.9
Above 60%,Total,Bulgaria,2016,6.3
Above 60%,Total,Bulgaria,2017,5.5
Above 60%,Total,Bulgaria,2018,5.6
Above 60%,Total,Bulgaria,2019,4.8
Above 60%,Total,Bulgaria,2020,4.7
Above 60%,Total,Bulgaria,2023,3.5
Above 60%,Total,Czechia,2005,8.4
Above 60%,Total,Czechia,2006,8.6
Above 60%,Total,Czechia,2007,6.3
Above 60%,Total,Czechia,2008,5.3
Above 60%,Total,Czechia,2009,5.1
Above 60%,Total,Czechia,2010,3.7
Above 60%,Total,Czechia,2011,4.0
Above 60%,Total,Czechia,2012,2.9
Above 60%,Total,Czechia,2013,3.1
Above 60%,Total,Czechia,2014,2.5
Above 60%,Total,Czechia,2015,2.5
Above 60%,Total,Czechia,2016,2.3
Above 60%,Total,Czechia,2017,1.9
Above 60%,Total,Czechia,2018,2.0
Above 60%,Total,Czechia,2019,1.3
Above 60%,Total,Czechia,2020,1.7
Above 60%,Total,Czechia,2023,1.7
Above 60%,Total,Denmark,2003,1.5
Above 60%,Total,Denmark,2004,1.4
Above 60%,Total,Denmark,2005,0.9
Above 60%,Total,Denmark,2006,0.9
Above 60%,Total,Denmark,2007,1.2
Above 60%,Total,Denmark,2008,0.7
Above 60%,Total,Denmark,2009,0.9
Above 60%,Total,Denmark,2010,0.9
Above 60%,Total,Denmark,2011,2.0
Above 60%,Total,Denmark,2012,1.5
Above 60%,Total,Denmark,2013,1.5
Above 60%,Total,Denmark,2014,1.7
Above 60%,Total,Denmark,2015,1.7
Above 60%,Total,Denmark,2016,1.3
Above 60%,Total,Denmark,2017,1.8
Above 60%,Total,Denmark,2018,1.9
Above 60%,Total,Denmark,2019,1.6
Above 60%,Total,Denmark,2020,1.6
Above 60%,Total,Denmark,2023,1.4
Above 60%,Total,Germany,2005,1.4
Above 60%,Total,Germany,2006,2.2
Above 60%,Total,Germany,2007,1.3
Above 60%,Total,Germany,2008,1.5
Above 60%,Total,Germany,2009,1.1
Above 60%,Total,Germany,2010,1.4
Above 60%,Total,Germany,2011,1.1
Above 60%,Total,Germany,2012,1.2
Above 60%,Total,Germany,2013,1.0
Above 60%,Total,Germany,2014,1.0
Above 60%,Total,Germany,2015,1.1
Above 60%,Total,Germany,2016,1.1
Above 60%,Total,Germany,2017,1.1
Above 60%,Total,Germany,2018,1.6
Above 60%,Total,Germany,2019,1.4
Above 60%,Total,Germany,2020,0.9
Above 60%,Total,Germany,2023,1.5
Above 60%,Total,Estonia,2004,18.8
Above 60%,Total,Estonia,2005,14.9
Above 60%,Total,Estonia,2006,13.1
Above 60%,Total,Estonia,2007,12.3
Above 60%,Total,Estonia,2008,8.9
Above 60%,Total,Estonia,2009,10.1
Above 60%,Total,Estonia,2010,9.7
Above 60%,Total,Estonia,2011,3.4
Above 60%,Total,Estonia,2012,3.7
Above 60%,Total,Estonia,2013,5.4
Above 60%,Total,Estonia,2014,3.1
Above 60%,Total,Estonia,2015,2.3
Above 60%,Total,Estonia,2016,3.0
Above 60%,Total,Estonia,2017,3.1
Above 60%,Total,Estonia,2018,2.9
Above 60%,Total,Estonia,2019,2.2
Above 60%,Total,Estonia,2020,1.7
Above 60%,Total,Estonia,2023,2.4
Above 60%,Total,Ireland,2003,1.1
Above 60%,Total,Ireland,2004,1.1
Above 60%,Total,Ireland,2005,1.0
Above 60%,Total,Ireland,2006,2.1
Above 60%,Total,Ireland,2007,1.0
Above 60%,Total,Ireland,2008,0.5
Above 60%,Total,Ireland,2009,0.6
Above 60%,Total,Ireland,2010,0.4
Above 60%,Total,Ireland,2011,0.6
Above 60%,Total,Ireland,2012,0.4
Above 60%,Total,Ireland,2013,1.3
Above 60%,Total,Ireland,2014,1.0
Above 60%,Total,Ireland,2015,1.0
Above 60%,Total,Ireland,2016,0.6
Above 60%,Total,Ireland,2017,0.5
Above 60%,Total,Ireland,2018,0.7
Above 60%,Total,Ireland,2019,0.7
Above 60%,Total,Ireland,2020,0.8
Above 60%,Total,Greece,2003,8.0
Above 60%,Total,Greece,2004,7.4
Above 60%,Total,Greece,2005,7.7
Above 60%,Total,Greece,2006,7.7
Above 60%,Total,Greece,2007,7.0
Above 60%,Total,Greece,2008,6.6
Above 60%,Total,Greece,2009,6.3
Above 60%,Total,Greece,2010,5.9
Above 60%,Total,Greece,2011,5.3
Above 60%,Total,Greece,2012,5.1
Above 60%,Total,Greece,2013,5.5
Above 60%,Total,Greece,2014,4.4
Above 60%,Total,Greece,2015,5.2
Above 60%,Total,Greece,2016,4.8
Above 60%,Total,Greece,2017,4.5
Above 60%,Total,Greece,2018,4.5
Above 60%,Total,Greece,2019,4.7
Above 60%,Total,Greece,2020,4.1
Above 60%,Total,Greece,2023,5.0
Above 60%,Total,Spain,2004,4.3
Above 60%,Total,Spain,2005,2.0
Above 60%,Total,Spain,2006,1.9
Above 60%,Total,Spain,2007,1.8
Above 60%,Total,Spain,2008,1.2
Above 60%,Total,Spain,2009,1.1
Above 60%,Total,Spain,2010,1.5
Above 60%,Total,Spain,2011,1.3
Above 60%,Total,Spain,2012,0.7
Above 60%,Total,Spain,2013,1.1
Above 60%,Total,Spain,2014,0.7
Above 60%,Total,Spain,2015,1.0
Above 60%,Total,Spain,2016,0.8
Above 60%,Total,Spain,2017,0.6
Above 60%,Total,Spain,2018,0.6
Above 60%,Total,Spain,2019,0.9
Above 60%,Total,Spain,2020,1.9
Above 60%,Total,Spain,2023,1.9
Above 60%,Total,France,2004,2.5
Above 60%,Total,France,2005,2.2
Above 60%,Total,France,2006,2.1
Above 60%,Total,France,2007,2.5
Above 60%,Total,France,2008,2.5
Above 60%,Total,France,2009,1.9
Above 60%,Total,France,2010,2.0
Above 60%,Total,France,2011,1.5
Above 60%,Total,France,2012,1.5
Above 60%,Total,France,2013,1.2
Above 60%,Total,France,2014,1.4
Above 60%,Total,France,2015,1.5
Above 60%,Total,France,2016,1.6
Above 60%,Total,France,2017,1.6
Above 60%,Total,France,2018,1.9
Above 60%,Total,France,2019,1.5
Above 60%,Total,France,2020,2.7
Above 60%,Total,France,2023,2.9
Above 60%,Total,Croatia,2010,10.4
Above 60%,Total,Croatia,2011,8.5
Above 60%,Total,Croatia,2012,8.5
Above 60%,Total,Croatia,2013,7.6
Above 60%,Total,Croatia,2014,6.6
Above 60%,Total,Croatia,2015,5.6
Above 60%,Total,Croatia,2016,5.7
Above 60%,Total,Croatia,2017,5.0
Above 60%,Total,Croatia,2018,5.1
Above 60%,Total,Croatia,2019,4.6
Above 60%,Total,Croatia,2020,4.5
Above 60%,Total,Croatia,2023,2.1
Above 60%,Total,Italy,2004,6.9
Above 60%,Total,Italy,2005,6.3
Above 60%,Total,Italy,2006,6.4
Above 60%,Total,Italy,2007,5.8
Above 60%,Total,Italy,2008,5.8
Above 60%,Total,Italy,2009,5.9
Above 60%,Total,Italy,2010,5.2
Above 60%,Total,Italy,2011,6.9
Above 60%,Total,Italy,2012,6.2
Above 60%,Total,Italy,2013,6.9
Above 60%,Total,Italy,2014,7.6
Above 60%,Total,Italy,2015,7.3
Above 60%,Total,Italy,2016,5.8
Above 60%,Total,Italy,2017,4.5
Above 60%,Total,Italy,2018,3.9
Above 60%,Total,Italy,2019,4.5
Above 60%,Total,Italy,2020,5.2
Above 60%,Total,Italy,2023,5.1
Above 60%,Total,Cyprus,2005,1.1
Above 60%,Total,Cyprus,2006,0.8
Above 60%,Total,Cyprus,2007,0.6
Above 60%,Total,Cyprus,2008,1.3
Above 60%,Total,Cyprus,2009,1.1
Above 60%,Total,Cyprus,2010,1.1
Above 60%,Total,Cyprus,2011,0.9
Above 60%,Total,Cyprus,2012,0.8
Above 60%,Total,Cyprus,2013,1.0
Above 60%,Total,Cyprus,2014,1.3
Above 60%,Total,Cyprus,2015,0.4
Above 60%,Total,Cyprus,2016,0.9
Above 60%,Total,Cyprus,2017,0.4
Above 60%,Total,Cyprus,2018,0.8
Above 60%,Total,Cyprus,2019,1.4
Above 60%,Total,Cyprus,2020,1.4
Above 60%,Total,Cyprus,2023,1.0
Above 60%,Total,Latvia,2005,28.3
Above 60%,Total,Latvia,2006,23.7
Above 60%,Total,Latvia,2007,22.4
Above 60%,Total,Latvia,2008,18.9
Above 60%,Total,Latvia,2009,18.3
Above 60%,Total,Latvia,2010,17.3
Above 60%,Total,Latvia,2011,14.1
Above 60%,Total,Latvia,2012,12.8
Above 60%,Total,Latvia,2013,13.1
Above 60%,Total,Latvia,2014,13.7
Above 60%,Total,Latvia,2015,12.1
Above 60%,Total,Latvia,2016,11.9
Above 60%,Total,Latvia,2017,12.9
Above 60%,Total,Latvia,2018,13.0
Above 60%,Total,Latvia,2019,11.6
Above 60%,Total,Latvia,2020,10.2
Above 60%,Total,Latvia,2023,10.2
Above 60%,Total,Lithuania,2005,24.1
Above 60%,Total,Lithuania,2006,21.9
Above 60%,Total,Lithuania,2007,18.7
Above 60%,Total,Lithuania,2008,15.3
Above 60%,Total,Lithuania,2009,13.4
Above 60%,Total,Lithuania,2010,11.2
Above 60%,Total,Lithuania,2011,5.8
Above 60%,Total,Lithuania,2012,5.5
Above 60%,Total,Lithuania,2013,6.6
Above 60%,Total,Lithuania,2014,8.2
Above 60%,Total,Lithuania,2015,6.0
Above 60%,Total,Lithuania,2016,5.7
Above 60%,Total,Lithuania,2017,5.7
Above 60%,Total,Lithuania,2018,5.8
Above 60%,Total,Lithuania,2019,6.6
Above 60%,Total,Lithuania,2020,4.4
Above 60%,Total,Lithuania,2023,3.9
Above 60%,Total,Luxembourg,2003,1.7
Above 60%,Total,Luxembourg,2004,2.0
Above 60%,Total,Luxembourg,2005,1.2
Above 60%,Total,Luxembourg,2006,0.8
Above 60%,Total,Luxembourg,2007,1.1
Above 60%,Total,Luxembourg,2008,1.5
Above 60%,Total,Luxembourg,2009,0.8
Above 60%,Total,Luxembourg,2010,1.2
Above 60%,Total,Luxembourg,2011,0.9
Above 60%,Total,Luxembourg,2012,1.2
Above 60%,Total,Luxembourg,2013,0.6
Above 60%,Total,Luxembourg,2014,0.9
Above 60%,Total,Luxembourg,2015,0.7
Above 60%,Total,Luxembourg,2016,1.2
Above 60%,Total,Luxembourg,2017,1.7
Above 60%,Total,Luxembourg,2018,1.6
Above 60%,Total,Luxembourg,2019,0.9
Above 60%,Total,Luxembourg,2020,1.0
Above 60%,Total,Luxembourg,2023,1.5
Above 60%,Total,Hungary,2005,19.8
Above 60%,Total,Hungary,2006,15.7
Above 60%,Total,Hungary,2007,12.2
Above 60%,Total,Hungary,2008,17.8
Above 60%,Total,Hungary,2009,8.9
Above 60%,Total,Hungary,2010,14.3
Above 60%,Total,Hungary,2011,11.7
Above 60%,Total,Hungary,2012,11.9
Above 60%,Total,Hungary,2013,12.8
Above 60%,Total,Hungary,2014,12.9
Above 60%,Total,Hungary,2015,12.0
Above 60%,Total,Hungary,2016,14.2
Above 60%,Total,Hungary,2017,14.5
Above 60%,Total,Hungary,2018,6.4
Above 60%,Total,Hungary,2019,6.2
Above 60%,Total,Hungary,2020,5.0
Above 60%,Total,Hungary,2023,3.6
Above 60%,Total,Malta,2005,0.9
Above 60%,Total,Malta,2006,0.8
Above 60%,Total,Malta,2007,0.6
Above 60%,Total,Malta,2008,0.9
Above 60%,Total,Malta,2009,0.9
Above 60%,Total,Malta,2010,1.3
Above 60%,Total,Malta,2011,1.1
Above 60%,Total,Malta,2012,0.9
Above 60%,Total,Malta,2013,1.1
Above 60%,Total,Malta,2014,1.0
Above 60%,Total,Malta,2015,0.9
Above 60%,Total,Malta,2016,1.0
Above 60%,Total,Malta,2017,0.6
Above 60%,Total,Malta,2018,0.5
Above 60%,Total,Malta,2019,0.8
Above 60%,Total,Malta,2020,0.9
Above 60%,Total,Malta,2023,0.5
Above 60%,Total,Netherlands,2005,0.5
Above 60%,Total,Netherlands,2006,0.4
Above 60%,Total,Netherlands,2007,0.5
Above 60%,Total,Netherlands,2008,0.4
Above 60%,Total,Netherlands,2009,0.4
Above 60%,Total,Netherlands,2010,0.4
Above 60%,Total,Netherlands,2011,0.4
Above 60%,Total,Netherlands,2012,0.7
Above 60%,Total,Netherlands,2013,0.3
Above 60%,Total,Netherlands,2014,0.4
Above 60%,Total,Netherlands,2015,0.5
Above 60%,Total,Netherlands,2016,0.9
Above 60%,Total,Netherlands,2017,0.6
Above 60%,Total,Netherlands,2018,0.9
Above 60%,Total,Netherlands,2019,1.0
Above 60%,Total,Netherlands,2020,0.9
Above 60%,Total,Netherlands,2023,0.8
Above 60%,Total,Austria,2003,1.3
Above 60%,Total,Austria,2004,3.0
Above 60%,Total,Austria,2005,2.9
Above 60%,Total,Austria,2006,3.3
Above 60%,Total,Austria,2007,3.1
Above 60%,Total,Austria,2008,3.3
Above 60%,Total,Austria,2009,2.9
Above 60%,Total,Austria,2010,2.8
Above 60%,Total,Austria,2011,2.9
Above 60%,Total,Austria,2012,2.6
Above 60%,Total,Austria,2013,2.7
Above 60%,Total,Austria,2014,2.8
Above 60%,Total,Austria,2015,3.1
Above 60%,Total,Austria,2016,3.2
Above 60%,Total,Austria,2017,3.3
Above 60%,Total,Austria,2018,1.9
Above 60%,Total,Austria,2019,2.5
Above 60%,Total,Austria,2020,2.4
Above 60%,Total,Austria,2023,2.8
Above 60%,Total,Poland,2005,25.3
Above 60%,Total,Poland,2006,23.8
Above 60%,Total,Poland,2007,21.6
Above 60%,Total,Poland,2008,14.9
Above 60%,Total,Poland,2009,12.1
Above 60%,Total,Poland,2010,10.2
Above 60%,Total,Poland,2011,8.7
Above 60%,Total,Poland,2012,7.9
Above 60%,Total,Poland,2013,7.9
Above 60%,Total,Poland,2014,6.9
Above 60%,Total,Poland,2015,7.6
Above 60%,Total,Poland,2016,7.3
Above 60%,Total,Poland,2017,8.7
Above 60%,Total,Poland,2018,7.3
Above 60%,Total,Poland,2019,7.0
Above 60%,Total,Poland,2023,4.1
Above 60%,Total,Portugal,2004,5.6
Above 60%,Total,Portugal,2005,6.3
Above 60%,Total,Portugal,2006,6.6
Above 60%,Total,Portugal,2007,6.3
Above 60%,Total,Portugal,2008,5.7
Above 60%,Total,Portugal,2009,3.4
Above 60%,Total,Portugal,2010,4.5
Above 60%,Total,Portugal,2011,3.0
Above 60%,Total,Portugal,2012,3.6
Above 60%,Total,Portugal,2013,4.3
Above 60%,Total,Portugal,2014,3.7
Above 60%,Total,Portugal,2015,3.2
Above 60%,Total,Portugal,2016,3.4
Above 60%,Total,Portugal,2017,2.8
Above 60%,Total,Portugal,2018,3.2
Above 60%,Total,Portugal,2019,2.8
Above 60%,Total,Portugal,2020,3.3
Above 60%,Total,Portugal,2023,4.2
Above 60%,Total,Romania,2007,25.2
Above 60%,Total,Romania,2008,21.7
Above 60%,Total,Romania,2009,20.1
Above 60%,Total,Romania,2010,18.3
Above 60%,Total,Romania,2011,16.6
Above 60%,Total,Romania,2012,15.3
Above 60%,Total,Romania,2013,15.0
Above 60%,Total,Romania,2014,12.3
Above 60%,Total,Romania,2015,11.3
Above 60%,Total,Romania,2016,12.1
Above 60%,Total,Romania,2017,11.2
Above 60%,Total,Romania,2018,9.5
Above 60%,Total,Romania,2019,7.7
Above 60%,Total,Romania,2020,7.7
Above 60%,Total,Romania,2023,5.2
Above 60%,Total,Slovenia,2005,11.1
Above 60%,Total,Slovenia,2006,12.2
Above 60%,Total,Slovenia,2007,10.9
Above 60%,Total,Slovenia,2008,15.1
Above 60%,Total,Slovenia,2009,16.6
Above 60%,Total,Slovenia,2010,13.9
Above 60%,Total,Slovenia,2011,7.6
Above 60%,Total,Slovenia,2012,6.8
Above 60%,Total,Slovenia,2013,5.2
Above 60%,Total,Slovenia,2014,5.4
Above 60%,Total,Slovenia,2015,4.5
Above 60%,Total,Slovenia,2016,3.6
Above 60%,Total,Slovenia,2017,3.9
Above 60%,Total,Slovenia,2018,4.2
Above 60%,Total,Slovenia,2019,3.5
Above 60%,Total,Slovenia,2020,2.7
Above 60%,Total,Slovenia,2023,2.8
Above 60%,Total,Slovakia,2005,5.3
Above 60%,Total,Slovakia,2006,4.5
Above 60%,Total,Slovakia,2007,3.6
Above 60%,Total,Slovakia,2008,4.8
Above 60%,Total,Slovakia,2009,3.3
Above 60%,Total,Slovakia,2010,2.9
Above 60%,Total,Slovakia,2011,3.3
Above 60%,Total,Slovakia,2012,3.6
Above 60%,Total,Slovakia,2013,2.7
Above 60%,Total,Slovakia,2014,2.0
Above 60%,Total,Slovakia,2015,2.6
Above 60%,Total,Slovakia,2016,2.5
Above 60%,Total,Slovakia,2017,3.0
Above 60%,Total,Slovakia,2018,2.2
Above 60%,Total,Slovakia,2019,2.0
Above 60%,Total,Slovakia,2020,2.1
Above 60%,Total,Slovakia,2023,2.1
Above 60%,Total,Finland,2004,0.8
Above 60%,Total,Finland,2005,0.7
