freq,unit,deg_urb,rskpovth,geo,time,value
Annual,Percentage,Cities,Below 60%,European Union - 28 countries (2013-2020),2018,28.5
Annual,Percentage,Cities,Below 60%,European Union - 28 countries (2013-2020),2019,28.5
Annual,Percentage,Cities,Below 60%,European Union - 28 countries (2013-2020),2020,
Annual,Percentage,Cities,Below 60%,European Union - 28 countries (2013-2020),2023,
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2003,
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2004,
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2005,
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2006,
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2007,32.7
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2008,31.8
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2009,31.4
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2010,30.8
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2011,30.7
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2012,30.5
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2013,30.1
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2014,29.5
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2015,29.4
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2016,29.2
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2017,29.2
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2018,28.6
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2019,28.6
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2020,
Annual,Percentage,Cities,Below 60%,European Union - 27 countries (2007-2013),2023,
Annual,Percentage,Cities,Below 60%,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2003,
