freq,unit,deg_urb,rskpovth,geo,year,pollution_rate
Annual,Percentage,Cities,Below 60%,Estonia,2016,12.9
Annual,Percentage,Cities,Below 60%,Estonia,2017,9.7
Annual,Percentage,Cities,Below 60%,Estonia,2018,11.2
Annual,Percentage,Cities,Below 60%,Estonia,2019,12.4
Annual,Percentage,Cities,Below 60%,Estonia,2020,10.3
Annual,Percentage,Cities,Below 60%,Estonia,2023,8.0
Annual,Percentage,Cities,Below 60%,Ireland,2003,20.5
Annual,Percentage,Cities,Below 60%,Ireland,2004,17.7
Annual,Percentage,Cities,Below 60%,Ireland,2005,14.5
Annual,Percentage,Cities,Below 60%,Ireland,2006,20.5
Annual,Percentage,Cities,Below 60%,Ireland,2007,15.2
Annual,Percentage,Cities,Below 60%,Ireland,2008,12.3
Annual,Percentage,Cities,Below 60%,Ireland,2009,10.5
Annual,Percentage,Cities,Below 60%,Ireland,2010,7.3
Annual,Percentage,Cities,Below 60%,Ireland,2011,4.2
Annual,Percentage,Cities,Below 60%,Ireland,2012,5.4
Annual,Percentage,Cities,Below 60%,Ireland,2013,8.1
Annual,Percentage,Cities,Below 60%,Ireland,2014,7.3
Annual,Percentage,Cities,Below 60%,Ireland,2015,8.4
Annual,Percentage,Cities,Below 60%,Ireland,2016,12.3
Annual,Percentage,Cities,Below 60%,Ireland,2017,19.8
Annual,Percentage,Cities,Below 60%,Ireland,2018,11.8
Annual,Percentage,Cities,Below 60%,Ireland,2019,14.1
Annual,Percentage,Cities,Below 60%,Ireland,2020,19.5
Annual,Percentage,Cities,Below 60%,Ireland,2023,4.9
Annual,Percentage,Cities,Below 60%,Greece,2003,28.7
Annual,Percentage,Cities,Below 60%,Greece,2004,28.0
Annual,Percentage,Cities,Below 60%,Greece,2005,29.7
Annual,Percentage,Cities,Below 60%,Greece,2006,27.9
Annual,Percentage,Cities,Below 60%,Greece,2007,27.2
Annual,Percentage,Cities,Below 60%,Greece,2008,31.7
Annual,Percentage,Cities,Below 60%,Greece,2009,37.5
Annual,Percentage,Cities,Below 60%,Greece,2010,41.4
Annual,Percentage,Cities,Below 60%,Greece,2011,35.7
Annual,Percentage,Cities,Below 60%,Greece,2012,41.7
Annual,Percentage,Cities,Below 60%,Greece,2013,43.3
Annual,Percentage,Cities,Below 60%,Greece,2014,30.7
Annual,Percentage,Cities,Below 60%,Greece,2015,28.1
Annual,Percentage,Cities,Below 60%,Greece,2016,25.3
Annual,Percentage,Cities,Below 60%,Greece,2017,28.5
Annual,Percentage,Cities,Below 60%,Greece,2018,32.3
Annual,Percentage,Cities,Below 60%,Greece,2019,36.0
Annual,Percentage,Cities,Below 60%,Greece,2020,42.5
Annual,Percentage,Cities,Below 60%,Greece,2023,37.9
Annual,Percentage,Cities,Below 60%,Spain,2004,17.2
Annual,Percentage,Cities,Below 60%,Spain,2005,24.5
Annual,Percentage,Cities,Below 60%,Spain,2006,20.6
Annual,Percentage,Cities,Below 60%,Spain,2007,20.5
Annual,Percentage,Cities,Below 60%,Spain,2008,18.8
Annual,Percentage,Cities,Below 60%,Spain,2009,15.5
Annual,Percentage,Cities,Below 60%,Spain,2010,14.9
Annual,Percentage,Cities,Below 60%,Spain,2011,10.3
Annual,Percentage,Cities,Below 60%,Spain,2012,10.7
Annual,Percentage,Cities,Below 60%,Spain,2013,14.9
Annual,Percentage,Cities,Below 60%,Spain,2014,16.6
Annual,Percentage,Cities,Below 60%,Spain,2015,17.1
Annual,Percentage,Cities,Below 60%,Spain,2016,21.1
Annual,Percentage,Cities,Below 60%,Spain,2017,14.5
Annual,Percentage,Cities,Below 60%,Spain,2018,16.5
Annual,Percentage,Cities,Below 60%,Spain,2019,14.3
Annual,Percentage,Cities,Below 60%,Spain,2020,16.8
Annual,Percentage,Cities,Below 60%,Spain,2023,16.7
Annual,Percentage,Cities,Below 60%,France,2004,29.0
Annual,Percentage,Cities,Below 60%,France,2005,27.1
Annual,Percentage,Cities,Below 60%,France,2006,26.9
Annual,Percentage,Cities,Below 60%,France,2007,23.7
Annual,Percentage,Cities,Below 60%,France,2008,19.6
Annual,Percentage,Cities,Below 60%,France,2009,20.5
Annual,Percentage,Cities,Below 60%,France,2010,23.2
Annual,Percentage,Cities,Below 60%,France,2011,19.7
Annual,Percentage,Cities,Below 60%,France,2012,17.8
Annual,Percentage,Cities,Below 60%,France,2013,20.8
Annual,Percentage,Cities,Below 60%,France,2014,20.4
Annual,Percentage,Cities,Below 60%,France,2015,18.8
Annual,Percentage,Cities,Below 60%,France,2016,21.4
Annual,Percentage,Cities,Below 60%,France,2017,18.9
Annual,Percentage,Cities,Below 60%,France,2018,24.7
Annual,Percentage,Cities,Below 60%,France,2019,30.1
Annual,Percentage,Cities,Below 60%,France,2020,38.2
Annual,Percentage,Cities,Below 60%,France,2023,28.5
Annual,Percentage,Cities,Below 60%,Croatia,2010,15.7
Annual,Percentage,Cities,Below 60%,Croatia,2011,7.4
Annual,Percentage,Cities,Below 60%,Croatia,2012,16.2
Annual,Percentage,Cities,Below 60%,Croatia,2013,13.0
Annual,Percentage,Cities,Below 60%,Croatia,2014,13.1
Annual,Percentage,Cities,Below 60%,Croatia,2015,8.9
Annual,Percentage,Cities,Below 60%,Croatia,2016,10.3
Annual,Percentage,Cities,Below 60%,Croatia,2017,6.7
Annual,Percentage,Cities,Below 60%,Croatia,2018,11.2
Annual,Percentage,Cities,Below 60%,Croatia,2019,9.0
Annual,Percentage,Cities,Below 60%,Croatia,2020,6.4
Annual,Percentage,Cities,Below 60%,Croatia,2023,7.5
Annual,Percentage,Cities,Below 60%,Italy,2004,34.7
Annual,Percentage,Cities,Below 60%,Italy,2005,35.0
Annual,Percentage,Cities,Below 60%,Italy,2006,31.3
Annual,Percentage,Cities,Below 60%,Italy,2007,32.5
Annual,Percentage,Cities,Below 60%,Italy,2008,27.9
Annual,Percentage,Cities,Below 60%,Italy,2009,27.1
Annual,Percentage,Cities,Below 60%,Italy,2010,25.2
Annual,Percentage,Cities,Below 60%,Italy,2011,34.2
Annual,Percentage,Cities,Below 60%,Italy,2012,32.0
Annual,Percentage,Cities,Below 60%,Italy,2013,30.9
Annual,Percentage,Cities,Below 60%,Italy,2014,29.1
Annual,Percentage,Cities,Below 60%,Italy,2015,31.7
Annual,Percentage,Cities,Below 60%,Italy,2016,26.0
Annual,Percentage,Cities,Below 60%,Italy,2017,21.8
Annual,Percentage,Cities,Below 60%,Italy,2018,18.2
Annual,Percentage,Cities,Below 60%,Italy,2019,17.2
Annual,Percentage,Cities,Below 60%,Italy,2020,25.5
Annual,Percentage,Cities,Below 60%,Italy,2023,11.6
Annual,Percentage,Cities,Below 60%,Cyprus,2005,23.9
Annual,Percentage,Cities,Below 60%,Cyprus,2006,28.2
Annual,Percentage,Cities,Below 60%,Cyprus,2007,25.1
