freq,unit,na_item,geo,time,value
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2018,32430.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2019,32890.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2020,30870.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2021,32860.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2022,33900.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2023,33840.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2024,34030.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 21 countries (from 2026),2025,34410.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),1995,24620.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),1996,24980.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),1997,25600.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),1998,26310.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),1999,27030.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2000,28000.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2001,28520.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2002,28640.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2003,28690.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2004,29200.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2005,29560.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2006,30400.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2007,31150.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2008,31130.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2009,29650.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2010,30190.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2011,30640.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2012,30290.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2013,30200.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2014,30590.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2015,31160.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2016,31630.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2017,32410.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2018,32920.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2019,33370.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2020,31310.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2021,33320.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2022,34360.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2023,34300.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2024,34490.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Euro area – 20 countries (2023-2025),2025,34860.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,1995,30290.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,1996,30920.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,1997,31540.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,1998,32610.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,1999,33770.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2000,34760.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2001,35090.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2002,35430.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2003,35680.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2004,36360.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2005,36950.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2006,37970.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2007,39270.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2008,39710.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2009,38200.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2010,38800.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2011,39800.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2012,39870.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2013,39540.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2014,39520.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2015,39640.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2016,39970.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2017,40620.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2018,41430.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2019,41970.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2020,39140.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2021,40910.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2022,42610.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2023,41910.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2024,41420.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Austria,2025,41650.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,1995,28400.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,1996,28720.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,1997,29740.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,1998,30260.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,1999,31250.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2000,32340.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2001,32580.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2002,32990.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2003,33190.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2004,34230.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2005,34830.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2006,35480.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2007,36520.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2008,36400.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2009,35420.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2010,36040.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2011,36270.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2012,36120.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2013,36060.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2014,36530.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2015,36860.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2016,37110.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2017,37510.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2018,38040.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2019,38760.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2020,36740.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2021,38880.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2022,40120.0
Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Belgium,2023,40400.0
