freq,purchase,unit,geo,year,hpi_weight
Annual,Total,"Annual average index, 2010=100",Germany,2022,195.7
Annual,Total,"Annual average index, 2010=100",Germany,2023,179.3
Annual,Total,"Annual average index, 2010=100",Germany,2024,176.5
Annual,Total,"Annual average index, 2010=100",Germany,2025,182.1
Annual,Total,"Annual average index, 2010=100",Estonia,2005,92.35
Annual,Total,"Annual average index, 2010=100",Estonia,2006,138.06
Annual,Total,"Annual average index, 2010=100",Estonia,2007,166.72
Annual,Total,"Annual average index, 2010=100",Estonia,2008,150.69
Annual,Total,"Annual average index, 2010=100",Estonia,2009,94.63
Annual,Total,"Annual average index, 2010=100",Estonia,2010,100.0
Annual,Total,"Annual average index, 2010=100",Estonia,2011,108.49
Annual,Total,"Annual average index, 2010=100",Estonia,2012,116.39
Annual,Total,"Annual average index, 2010=100",Estonia,2013,128.79
Annual,Total,"Annual average index, 2010=100",Estonia,2014,146.45
Annual,Total,"Annual average index, 2010=100",Estonia,2015,156.5
Annual,Total,"Annual average index, 2010=100",Estonia,2016,163.92
Annual,Total,"Annual average index, 2010=100",Estonia,2017,172.95
Annual,Total,"Annual average index, 2010=100",Estonia,2018,183.2
Annual,Total,"Annual average index, 2010=100",Estonia,2019,196.04
Annual,Total,"Annual average index, 2010=100",Estonia,2020,207.81
Annual,Total,"Annual average index, 2010=100",Estonia,2021,239.09
Annual,Total,"Annual average index, 2010=100",Estonia,2022,292.27
Annual,Total,"Annual average index, 2010=100",Estonia,2023,309.43
Annual,Total,"Annual average index, 2010=100",Estonia,2024,328.31
Annual,Total,"Annual average index, 2010=100",Estonia,2025,345.43
Annual,Total,"Annual average index, 2010=100",Ireland,2005,124.46
Annual,Total,"Annual average index, 2010=100",Ireland,2006,142.98
Annual,Total,"Annual average index, 2010=100",Ireland,2007,153.65
Annual,Total,"Annual average index, 2010=100",Ireland,2008,142.98
Annual,Total,"Annual average index, 2010=100",Ireland,2009,115.6
Annual,Total,"Annual average index, 2010=100",Ireland,2010,100.0
Annual,Total,"Annual average index, 2010=100",Ireland,2011,82.92
Annual,Total,"Annual average index, 2010=100",Ireland,2012,71.76
Annual,Total,"Annual average index, 2010=100",Ireland,2013,72.66
Annual,Total,"Annual average index, 2010=100",Ireland,2014,84.67
Annual,Total,"Annual average index, 2010=100",Ireland,2015,94.38
Annual,Total,"Annual average index, 2010=100",Ireland,2016,101.42
Annual,Total,"Annual average index, 2010=100",Ireland,2017,112.44
Annual,Total,"Annual average index, 2010=100",Ireland,2018,123.94
Annual,Total,"Annual average index, 2010=100",Ireland,2019,126.85
Annual,Total,"Annual average index, 2010=100",Ireland,2020,127.24
Annual,Total,"Annual average index, 2010=100",Ireland,2021,137.77
Annual,Total,"Annual average index, 2010=100",Ireland,2022,154.74
Annual,Total,"Annual average index, 2010=100",Ireland,2023,159.48
Annual,Total,"Annual average index, 2010=100",Ireland,2024,173.07
Annual,Total,"Annual average index, 2010=100",Ireland,2025,186.11
Annual,Total,"Annual average index, 2010=100",Spain,2006,100.71
Annual,Total,"Annual average index, 2010=100",Spain,2007,110.58
Annual,Total,"Annual average index, 2010=100",Spain,2008,109.0
Annual,Total,"Annual average index, 2010=100",Spain,2009,101.8
Annual,Total,"Annual average index, 2010=100",Spain,2010,100.0
Annual,Total,"Annual average index, 2010=100",Spain,2011,92.36
Annual,Total,"Annual average index, 2010=100",Spain,2012,78.71
Annual,Total,"Annual average index, 2010=100",Spain,2013,71.52
Annual,Total,"Annual average index, 2010=100",Spain,2014,71.75
Annual,Total,"Annual average index, 2010=100",Spain,2015,74.32
Annual,Total,"Annual average index, 2010=100",Spain,2016,77.76
Annual,Total,"Annual average index, 2010=100",Spain,2017,82.57
Annual,Total,"Annual average index, 2010=100",Spain,2018,88.13
Annual,Total,"Annual average index, 2010=100",Spain,2019,92.69
Annual,Total,"Annual average index, 2010=100",Spain,2020,94.76
Annual,Total,"Annual average index, 2010=100",Spain,2021,98.25
Annual,Total,"Annual average index, 2010=100",Spain,2022,105.52
Annual,Total,"Annual average index, 2010=100",Spain,2023,109.76
Annual,Total,"Annual average index, 2010=100",Spain,2024,119.1
Annual,Total,"Annual average index, 2010=100",Spain,2025,134.23
Annual,Total,"Annual average index, 2010=100",France,2005,84.94
Annual,Total,"Annual average index, 2010=100",France,2006,94.76
Annual,Total,"Annual average index, 2010=100",France,2007,100.83
Annual,Total,"Annual average index, 2010=100",France,2008,101.78
Annual,Total,"Annual average index, 2010=100",France,2009,95.57
Annual,Total,"Annual average index, 2010=100",France,2010,100.0
Annual,Total,"Annual average index, 2010=100",France,2011,105.73
Annual,Total,"Annual average index, 2010=100",France,2012,105.15
Annual,Total,"Annual average index, 2010=100",France,2013,103.2
Annual,Total,"Annual average index, 2010=100",France,2014,101.62
Annual,Total,"Annual average index, 2010=100",France,2015,100.26
Annual,Total,"Annual average index, 2010=100",France,2016,101.31
Annual,Total,"Annual average index, 2010=100",France,2017,104.51
Annual,Total,"Annual average index, 2010=100",France,2018,107.57
