freq,unit,deg_urb,rskpovth,geo,year,crime_rate
Annual,Percentage,Cities,Below 60%,Estonia,2016,14.8
Annual,Percentage,Cities,Below 60%,Estonia,2017,12.2
Annual,Percentage,Cities,Below 60%,Estonia,2018,9.3
Annual,Percentage,Cities,Below 60%,Estonia,2019,9.4
Annual,Percentage,Cities,Below 60%,Estonia,2020,6.0
Annual,Percentage,Cities,Below 60%,Estonia,2023,5.8
Annual,Percentage,Cities,Below 60%,Ireland,2003,26.8
Annual,Percentage,Cities,Below 60%,Ireland,2004,34.8
Annual,Percentage,Cities,Below 60%,Ireland,2005,35.1
Annual,Percentage,Cities,Below 60%,Ireland,2006,36.0
Annual,Percentage,Cities,Below 60%,Ireland,2007,33.1
Annual,Percentage,Cities,Below 60%,Ireland,2008,20.1
Annual,Percentage,Cities,Below 60%,Ireland,2009,33.1
Annual,Percentage,Cities,Below 60%,Ireland,2010,25.7
Annual,Percentage,Cities,Below 60%,Ireland,2011,18.0
Annual,Percentage,Cities,Below 60%,Ireland,2012,22.8
Annual,Percentage,Cities,Below 60%,Ireland,2013,25.3
Annual,Percentage,Cities,Below 60%,Ireland,2014,18.0
Annual,Percentage,Cities,Below 60%,Ireland,2015,24.2
Annual,Percentage,Cities,Below 60%,Ireland,2016,19.8
Annual,Percentage,Cities,Below 60%,Ireland,2017,24.9
Annual,Percentage,Cities,Below 60%,Ireland,2018,23.7
Annual,Percentage,Cities,Below 60%,Ireland,2019,22.7
Annual,Percentage,Cities,Below 60%,Ireland,2020,28.4
Annual,Percentage,Cities,Below 60%,Ireland,2023,16.6
Annual,Percentage,Cities,Below 60%,Greece,2003,15.5
Annual,Percentage,Cities,Below 60%,Greece,2004,15.3
Annual,Percentage,Cities,Below 60%,Greece,2005,12.5
Annual,Percentage,Cities,Below 60%,Greece,2006,15.8
Annual,Percentage,Cities,Below 60%,Greece,2007,22.1
Annual,Percentage,Cities,Below 60%,Greece,2008,21.9
Annual,Percentage,Cities,Below 60%,Greece,2009,27.8
Annual,Percentage,Cities,Below 60%,Greece,2010,34.2
Annual,Percentage,Cities,Below 60%,Greece,2011,31.6
Annual,Percentage,Cities,Below 60%,Greece,2012,27.7
Annual,Percentage,Cities,Below 60%,Greece,2013,29.1
Annual,Percentage,Cities,Below 60%,Greece,2014,23.0
Annual,Percentage,Cities,Below 60%,Greece,2015,18.7
Annual,Percentage,Cities,Below 60%,Greece,2016,16.2
Annual,Percentage,Cities,Below 60%,Greece,2017,20.9
Annual,Percentage,Cities,Below 60%,Greece,2018,26.1
Annual,Percentage,Cities,Below 60%,Greece,2019,29.6
Annual,Percentage,Cities,Below 60%,Greece,2020,30.3
Annual,Percentage,Cities,Below 60%,Greece,2023,28.7
Annual,Percentage,Cities,Below 60%,Spain,2004,27.2
Annual,Percentage,Cities,Below 60%,Spain,2005,28.6
Annual,Percentage,Cities,Below 60%,Spain,2006,29.9
Annual,Percentage,Cities,Below 60%,Spain,2007,24.4
Annual,Percentage,Cities,Below 60%,Spain,2008,20.5
