freq,unit,quantile,hhcomp,geo,time,value
Annual,Percentage,Total,Total,European Union - 27 countries (2007-2013),2025,
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2010,39.1
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2011,38.4
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2012,38.7
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2013,38.3
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2014,38.2
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2015,37.8
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2016,37.1
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2017,37.2
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018,37.3
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2019,37.0
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2020,36.9
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2021,37.8
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2022,
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2023,
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,
Annual,Percentage,Total,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2025,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2010,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2011,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2012,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2013,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2014,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2015,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2016,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2017,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2018,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2019,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2020,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2021,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2022,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2023,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2024,
Annual,Percentage,Total,Total,Euro area – 21 countries (from 2026),2025,36.3
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2010,
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2011,
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2012,
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2013,
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2014,37.8
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2015,37.4
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2016,36.8
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2017,36.9
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2018,37.0
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2019,36.7
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2020,36.6
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2021,37.2
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2022,37.4
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2023,36.7
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2024,36.6
Annual,Percentage,Total,Total,Euro area – 20 countries (2023-2025),2025,36.7
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2010,38.4
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2011,38.1
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2012,38.4
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2013,38.0
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2014,38.0
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2015,37.8
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2016,37.1
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2017,37.2
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2018,37.3
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2019,37.0
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2020,36.9
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2021,37.8
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2022,
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2023,
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2024,
Annual,Percentage,Total,Total,Euro area - 19 countries  (2015-2022),2025,
