geo,year,noise_rate_scaled,pollution_rate_scaled,crime_rate_scaled,hpi_weight_scaled,safety_score,safety_index,affordability_index,combined_score
Austria,2010,0.8921900827460119,-0.7578079283291028,0.1388573376924049,0.5835037426781539,0.09107983070310466,0.9089201692968953,0.41649625732184614,0.7119506045068756
Austria,2011,0.4226949610618552,-0.512827875269635,-0.09833314551725343,-0.6247378887386221,-0.0628220199083444,1.0628220199083445,1.6247378887386221,1.2875883674404554
Austria,2012,0.5647790110452188,-0.5187548120372025,-0.04883252293436834,-0.4024214285579349,-0.0009361079754507002,1.0009361079754506,1.4024214285579348,1.1615302362084443
Austria,2013,0.4947665806186337,-0.37058139284800834,-0.05295757481627576,-0.2657877308492452,0.02374253765144987,0.9762574623485502,1.2657877308492451,1.092069569748828
Austria,2014,0.18588821108958392,-0.7657105106858598,0.2543587903858038,-0.15471141544577727,-0.10848783640349069,1.1084878364034907,1.1547114154457772,1.126977268020405
Austria,2015,0.18176983282919662,-0.47726625466422823,0.1636076489838478,0.07481353717997244,-0.04396292428372794,1.0439629242837278,0.9251864628200276,0.9964523396982478
Austria,2016,0.20648010239152054,-0.47726625466422823,0.06873145569998405,0.3448043451223242,-0.06735156552424121,1.0673515655242412,0.6551956548776758,0.9024892012656149
Austria,2017,0.11999415892338679,-0.7222463077236962,-0.1870217609782565,0.5225592156426232,-0.26309130325952196,1.263091303259522,0.4774407843573768,0.9488310956986639
Austria,2018,0.16323713065745332,-0.7834913209885633,-0.48608802241652155,0.7887819479886921,-0.36878073758254387,1.3687807375825438,0.21121805201130794,0.9057556633540494
Austria,2019,0.6286138740812226,-0.46738802671828195,-0.5892143194641991,1.056970632819779,-0.14266282403375283,1.1426628240337529,-0.05697063281977899,0.6628094412923401
Austria,2020,-0.13328610409043512,-0.9573481328372181,-1.0491576042968414,1.4418058317618816,-0.7132639470748314,1.7132639470748314,-0.4418058317618816,0.851236035540146
Austria,2023,0.4803522567072784,-0.9474699048912715,-0.8862180549615106,2.3279589143833523,-0.45111190104850124,1.4511119010485012,-1.3279589143833523,0.33948357487575975
Belgium,2005,0.6286138740812226,0.4097986148817487,0.9844929734833614,-0.029381944525935528,0.6743018208154442,0.3256981791845558,1.0293819445259356,0.6071716853211077
Belgium,2006,0.5462463088734756,-0.056453744166916155,0.9514925584281047,-0.8721202431032775,0.48042837437822133,0.5195716256217786,1.8721202431032775,1.0605910726143781
Belgium,2007,0.737750897981487,0.34657795602769265,1.0979319002358068,-0.6922355907242098,0.7274202514149954,0.27257974858500456,1.6922355907242097,0.8404420854406867
Belgium,2008,0.3650376654164334,0.2991624618871503,0.6379886154031644,-0.6211336425160905,0.43406291423558274,0.5659370857644173,1.6211336425160905,0.9880157084650865
Belgium,2009,0.10763902414222482,-0.014965186793941885,0.5472374740012078,-0.7107483099581218,0.21330377044983026,0.7866962295501697,1.7107483099581218,1.1563170617133505
Belgium,2010,0.03144902632505839,-0.056453744166916474,0.821553424148031,-0.5973783833221334,0.265516235435391,0.734483764564609,1.5973783833221336,1.0796416120676189
Belgium,2011,0.1405860502253234,0.2379174486222835,0.19042048621624355,-0.46369361434096884,0.1896413283546168,0.8103586716453832,1.463693614340969,1.0716926487236176
Belgium,2012,0.17353307630842196,0.4690679825574262,0.7349273346279811,-0.4068448216492236,0.4591761311646098,0.5408238688353901,1.4068448216492235,0.8872322499609235
Belgium,2013,0.1755922654386153,0.8325867709682503,1.665126533998034,-0.3722768237876732,0.8911018568016331,0.10889814319836688,1.3722768237876732,0.6142496154340895
Belgium,2014,0.397984691499532,0.7100967444385154,1.0278060182433861,-0.41307033785177777,0.7119624847271444,0.2880375152728556,1.4130703378517777,0.7380506443044245
Belgium,2015,0.5153584719205703,0.4868487928601298,1.0876192705310392,-0.3177216423284472,0.6966088451039131,0.3033911548960869,1.3177216423284472,0.7091233498690311
Belgium,2016,0.07881037631951292,0.3208945633682321,0.6462387191669786,-0.22958143925017988,0.34864788628490784,0.6513521137150922,1.2295814392501798,0.8826438439291272
Belgium,2017,0.12823091544416143,0.26755213246012227,0.5534250518240688,-0.08590307847017752,0.31640269990945086,0.6835973000905491,1.0859030784701775,0.8445196114424005
Belgium,2018,0.3712152328070141,0.4018960325249917,0.6792391342222354,0.015507303881955928,0.48411679985141376,0.5158832001485862,0.984492696118044,0.7033269985363694
Belgium,2019,-0.09622069974694858,0.4038716781141806,0.5843629409383723,0.16688564522827465,0.2973379731018681,0.7026620268981318,0.8331143547717254,0.7548429580475693
Belgium,2020,-0.3659744758023191,-0.22240797365881387,0.02129335905805252,0.34316605138481004,-0.1890296968010268,1.1890296968010268,0.65683394861519,0.976151397526692
Belgium,2023,-0.4298093388383226,0.12530565003849525,0.35129750961062073,0.9257433044448857,0.015597940270264454,0.9844020597297356,0.07425669555511427,0.6203439140598871
Bulgaria,2005,0.503003337139409,2.3123453172710047,3.0758942776102636,0.054171036087292526,1.9637476440068926,-0.9637476440068926,0.9458289639127074,-0.19991700083905256
Bulgaria,2006,0.503003337139409,2.3123453172710047,3.0758942776102636,-0.6058975107572083,1.9637476440068926,-0.9637476440068926,1.6058975107572082,0.06411041789874772
Bulgaria,2007,0.32591307194275354,2.656107649789935,3.2326462491227343,0.4730827447696924,2.0715556569518077,-1.0715556569518077,0.5269172552303076,-0.43216649207896146
Bulgaria,2008,0.2105984806519072,1.4904767521682725,3.1047696407836125,1.3510443587035916,1.6019482912012641,-0.6019482912012641,-0.35104435870359163,-0.5015867182021951
Bulgaria,2009,0.14264523935551673,1.6603822728385493,3.216146041595106,-0.35474708079626965,1.6730578512630574,-0.6730578512630574,1.3547470807962696,0.13806412156067344
Bulgaria,2010,-0.5513014975197492,1.034102621065554,3.4162110578676,-0.5693635604106397,1.2996707271378016,-0.29967072713780163,1.5693635604106397,0.44794298788157494
Bulgaria,2011,-0.6563201431596263,0.8780266195196027,3.389398220635204,-0.6781462645815873,1.20370156566506,-0.20370156566506004,1.6781462645815872,0.5490375664335989
Bulgaria,2012,-0.7860490583618273,0.4177011972385057,2.7025770822976702,-0.6799483876928535,0.7780764070581162,0.2219235929418838,1.6799483876928534,0.8051335108422716
Bulgaria,2013,-0.8231144627053134,0.4927757296276972,2.7665153864672307,-0.7535077765072438,0.8120588844632048,0.18794111553679516,1.7535077765072438,0.8141677799249746
Bulgaria,2014,-0.757220410539116,0.8365380621466282,3.17283299683508,-0.6507867591650988,1.0840502161475307,-0.08405021614753072,1.6507867591650989,0.6098845739775212
Bulgaria,2015,-1.1731766148382372,0.6152657561574314,2.7335149714119735,-0.541348737499146,0.7252013709103893,0.2747986290896107,1.541348737499146,0.7814186724534249
