freq,citizen,agedef,age,unit,sex,geo,time,value
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2014,29897.0
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2015,29602.0
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2016,64083.0
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2017,51847.0
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2018,65910.0
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2019,105888.0
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2020,63095.0
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2021,69360.0
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2022,347429.0
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2023,142149.0
Annual,Total,Age reached during the year,Total,Number,Total,Czechia,2024,123910.0
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2013,60312.0
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2014,68388.0
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2015,78492.0
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2016,74383.0
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2017,68579.0
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2018,64669.0
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2019,61384.0
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2020,57230.0
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2021,63489.0
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2022,121183.0
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2023,98344.0
Annual,Total,Age reached during the year,Total,Number,Total,Denmark,2024,101724.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,2013,692713.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,2014,898840.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,2015,1595865.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,2016,1042484.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,2017,900291.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,2018,855708.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,2019,834338.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,2020,666639.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,2021,801361.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,2022,1977121.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,2023,1303251.0
Annual,Total,Age reached during the year,Total,Number,Total,Germany,2024,1078504.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2013,4109.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2014,3904.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2015,15413.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2016,14822.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2017,17616.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2018,17547.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2019,18259.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2020,16209.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2021,19524.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2022,49414.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2023,26399.0
Annual,Total,Age reached during the year,Total,Number,Total,Estonia,2024,18634.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2013,65539.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2014,73519.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2015,80792.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2016,93378.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2017,84743.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2018,105699.0
Annual,Total,Age reached during the year,Total,Number,Total,Ireland,2019,96321.0
