geo,year,noise_rate,pollution_rate,crime_rate,hpi_weight
Austria,2010,22.333333333333332,9.433333333333334,12.377777777777778,88.66
Austria,2011,19.799999999999997,10.81111111111111,11.100000000000001,64.07666666666667
Austria,2012,20.566666666666666,10.777777777777779,11.366666666666667,68.60000000000001
Austria,2013,20.188888888888886,11.61111111111111,11.344444444444443,71.38
Austria,2014,18.522222222222222,9.38888888888889,13.0,73.64
Austria,2015,18.5,11.011111111111111,12.511111111111113,78.31
Austria,2016,18.633333333333333,11.011111111111111,12.0,83.80333333333333
Austria,2017,18.166666666666668,9.633333333333333,10.622222222222222,87.42
Austria,2018,18.4,9.288888888888888,9.011111111111111,92.83666666666666
Austria,2019,20.91111111111111,11.066666666666666,8.455555555555556,98.29333333333334
Austria,2020,16.799999999999997,8.31111111111111,5.977777777777778,106.12333333333333
Austria,2023,20.11111111111111,8.366666666666667,6.855555555555556,124.15333333333335
Belgium,2005,20.91111111111111,16.0,16.933333333333334,76.19
Belgium,2006,20.466666666666665,13.377777777777778,16.755555555555556,59.04333333333333
Belgium,2007,21.5,15.644444444444446,17.544444444444444,62.70333333333334
Belgium,2008,19.48888888888889,15.377777777777778,15.066666666666666,64.15
Belgium,2009,18.1,13.61111111111111,14.577777777777776,62.32666666666666
Belgium,2010,17.688888888888886,13.377777777777776,16.055555555555557,64.63333333333334
Belgium,2011,18.27777777777778,15.033333333333335,12.655555555555555,67.35333333333334
Belgium,2012,18.455555555555556,16.333333333333332,15.588888888888887,68.51
Belgium,2013,18.466666666666665,18.37777777777778,20.6,69.21333333333332
Belgium,2014,19.666666666666668,17.688888888888886,17.166666666666668,68.38333333333334
Belgium,2015,20.299999999999997,16.433333333333334,17.48888888888889,70.32333333333334
Belgium,2016,17.944444444444443,15.5,15.11111111111111,72.11666666666666
Belgium,2017,18.211111111111112,15.200000000000001,14.61111111111111,75.04
Belgium,2018,19.522222222222222,15.955555555555556,15.288888888888888,77.10333333333334
Belgium,2019,17.0,15.966666666666665,14.777777777777779,80.18333333333334
Belgium,2020,15.544444444444444,12.444444444444445,11.744444444444445,83.77
Belgium,2023,15.200000000000001,14.399999999999999,13.522222222222222,95.62333333333333
Bulgaria,2005,20.233333333333334,26.700000000000003,28.200000000000003,77.89
Bulgaria,2006,20.233333333333334,26.700000000000003,28.200000000000003,64.46
Bulgaria,2007,19.27777777777778,28.633333333333333,29.044444444444448,86.41333333333334
Bulgaria,2008,18.65555555555555,22.077777777777776,28.355555555555554,104.27666666666669
Bulgaria,2009,18.288888888888888,23.033333333333335,28.95555555555556,69.57000000000001
Bulgaria,2010,14.544444444444444,19.51111111111111,30.033333333333335,65.20333333333333
Bulgaria,2011,13.977777777777778,18.633333333333333,29.88888888888889,62.99
Bulgaria,2012,13.277777777777779,16.044444444444444,26.188888888888886,62.953333333333326
Bulgaria,2013,13.077777777777778,16.466666666666665,26.533333333333335,61.45666666666667
Bulgaria,2014,13.433333333333334,18.4,28.72222222222222,63.546666666666674
Bulgaria,2015,11.188888888888888,17.155555555555555,26.355555555555554,65.77333333333333
Bulgaria,2016,11.022222222222222,16.311111111111114,24.61111111111111,71.72333333333334
Bulgaria,2017,10.633333333333333,16.322222222222223,24.033333333333335,78.30333333333333
Bulgaria,2018,9.81111111111111,14.377777777777778,21.0,82.57333333333334
Bulgaria,2019,9.18888888888889,13.877777777777778,19.022222222222222,87.21
