currency,prod_veg,geo,year,selling_price,temperature_2m_mean,precipitation_sum,price_lag1,price_lag2
Euro,Durum wheat,Bulgaria,2020,18.24,11.473497267759564,727.0,16.58,15.58
Euro,Durum wheat,Bulgaria,2021,21.7,11.054794520547944,792.2,18.24,16.58
Euro,Durum wheat,Bulgaria,2022,35.04,11.659999999999998,576.4,21.7,18.24
Euro,Durum wheat,Bulgaria,2023,25.77,12.37808219178082,814.8,35.04,21.7
Euro,Durum wheat,Bulgaria,2024,22.22,12.789071038251366,502.1,25.77,35.04
Euro,Feed barley,Bulgaria,2017,13.77,10.825205479452054,773.9,13.79,15.15
Euro,Feed barley,Bulgaria,2018,14.96,11.431232876712327,678.7,13.77,13.79
Euro,Feed barley,Bulgaria,2019,14.74,12.208219178082192,552.8,14.96,13.77
Euro,Feed barley,Bulgaria,2020,14.7,11.473497267759564,727.0,14.74,14.96
Euro,Feed barley,Bulgaria,2021,17.93,11.054794520547944,792.2,14.7,14.74
Euro,Feed barley,Bulgaria,2022,28.95,11.659999999999998,576.4,17.93,14.7
Euro,Feed barley,Bulgaria,2023,19.37,12.37808219178082,814.8,28.95,17.93
Euro,Feed barley,Bulgaria,2024,16.44,12.789071038251366,502.1,19.37,28.95
Euro,Rye,Bulgaria,2017,13.65,10.825205479452054,773.9,12.29,13.28
Euro,Rye,Bulgaria,2018,13.4,11.431232876712327,678.7,13.65,12.29
Euro,Rye,Bulgaria,2019,14.79,12.208219178082192,552.8,13.4,13.65
Euro,Rye,Bulgaria,2020,16.5,11.473497267759564,727.0,14.79,13.4
Euro,Rye,Bulgaria,2021,18.26,11.054794520547944,792.2,16.5,14.79
Euro,Rye,Bulgaria,2022,30.73,11.659999999999998,576.4,18.26,16.5
Euro,Rye,Bulgaria,2023,21.1,12.37808219178082,814.8,30.73,18.26
Euro,Rye,Bulgaria,2024,19.97,12.789071038251366,502.1,21.1,30.73
Euro,Soft wheat,Bulgaria,2017,15.47,10.825205479452054,773.9,14.06,15.59
Euro,Soft wheat,Bulgaria,2018,15.4,11.431232876712327,678.7,15.47,14.06
Euro,Soft wheat,Bulgaria,2019,15.21,12.208219178082192,552.8,15.4,15.47
Euro,Soft wheat,Bulgaria,2020,16.76,11.473497267759564,727.0,15.21,15.4
Euro,Soft wheat,Bulgaria,2021,20.45,11.054794520547944,792.2,16.76,15.21
Euro,Soft wheat,Bulgaria,2022,31.08,11.659999999999998,576.4,20.45,16.76
Euro,Soft wheat,Bulgaria,2023,21.23,12.37808219178082,814.8,31.08,20.45
Euro,Soft wheat,Bulgaria,2024,18.51,12.789071038251366,502.1,21.23,31.08
Euro,Barley,Croatia,2017,13.45,11.992876712328766,932.5,13.15,15.73
Euro,Barley,Croatia,2018,14.9,12.192876712328768,919.8,13.45,13.15
Euro,Barley,Croatia,2019,14.69,12.374246575342466,1020.6,14.9,13.45
Euro,Barley,Croatia,2020,14.17,12.118852459016392,921.3,14.69,14.9
Euro,Durum wheat,Croatia,2017,22.01,11.992876712328766,932.5,14.39,27.14
Euro,Durum wheat,Croatia,2018,21.01,12.192876712328768,919.8,22.01,14.39
Euro,Durum wheat,Croatia,2019,19.48,12.374246575342466,1020.6,21.01,22.01
Euro,Durum wheat,Croatia,2020,19.72,12.118852459016392,921.3,19.48,21.01
Euro,Durum wheat,Croatia,2021,22.18,11.538630136986304,803.4,19.72,19.48
Euro,Durum wheat,Croatia,2022,40.56,12.366575342465756,710.4,22.18,19.72
Euro,Durum wheat,Croatia,2023,30.9,12.634520547945206,1182.9,40.56,22.18
Euro,Durum wheat,Croatia,2024,26.38,13.059562841530056,1015.0,30.9,40.56
Euro,Feed barley,Croatia,2017,11.66,11.992876712328766,932.5,12.7,13.83
Euro,Feed barley,Croatia,2018,13.21,12.192876712328768,919.8,11.66,12.7
Euro,Feed barley,Croatia,2019,13.61,12.374246575342466,1020.6,13.21,11.66
Euro,Feed barley,Croatia,2020,12.11,12.118852459016392,921.3,13.61,13.21
Euro,Feed barley,Croatia,2021,16.27,11.538630136986304,803.4,12.11,13.61
Euro,Feed barley,Croatia,2022,27.76,12.366575342465756,710.4,16.27,12.11
Euro,Feed barley,Croatia,2023,14.58,12.634520547945206,1182.9,27.76,16.27
Euro,Feed barley,Croatia,2024,15.47,13.059562841530056,1015.0,14.58,27.76
Euro,Rye,Croatia,2017,14.84,11.992876712328766,932.5,11.88,15.28
Euro,Rye,Croatia,2018,15.03,12.192876712328768,919.8,14.84,11.88
Euro,Rye,Croatia,2019,15.11,12.374246575342466,1020.6,15.03,14.84
Euro,Rye,Croatia,2020,13.64,12.118852459016392,921.3,15.11,15.03
