name,domains,web_pages,country,alpha_two_code,state-province
Facultés Universitaires Catholiques de Mons,['fucam.ac.be'],['http://www.fucam.ac.be/'],Belgium,BE,
Fondation Universitaire Luxembourgeoise,['ful.ac.be'],['http://www.ful.ac.be/'],Belgium,BE,
Facultés Universitaires Notre-Dame de la Paix,['fundp.ac.be'],['http://www.fundp.ac.be/'],Belgium,BE,
Facultés Universitaires Saint-Louis,['fusl.ac.be'],['http://www.fusl.ac.be/'],Belgium,BE,
Hogeschool Antwerpen,['ha.be'],['http://www.ha.be/'],Belgium,BE,
Hogere Zeevaartschool - Maritime Academy,['hzs.be'],['http://www.hzs.be/'],Belgium,BE,
Brussels Management School (ICHEC),['ichec.be'],['http://www.ichec.be/'],Belgium,BE,
Karel De Grote Hogeschool,['kdg.be'],['http://www.kdg.be/'],Belgium,BE,
Katholieke Hogeschool Kempen,['khk.be'],['http://www.khk.be/'],Belgium,BE,
Katholieke Hogeschool Leuven,['khleuven.be'],['http://www.khleuven.be/'],Belgium,BE,
Katholieke Hogeschool Limburg,['khlim.be'],['http://www.khlim.be/'],Belgium,BE,
Katholieke Universiteit Brussel,['kubrussel.ac.be'],['http://www.kubrussel.ac.be/'],Belgium,BE,
"Katholieke Universiteit Leuven, Campus Kortrijk",['kulak.kuleuven.be'],['https://kulak.kuleuven.be/'],Belgium,BE,
Katholieke Universiteit Leuven,['kuleuven.be'],"['https://www.kuleuven.be/kuleuven/', 'https://www.kuleuven.be/english/kuleuven/']",Belgium,BE,
Royal Military Academy,['rma.ac.be'],['http://www.rma.ac.be/'],Belgium,BE,
Universiteit Gent,"['ugent.be', 'rug.ac.be']","['https://www.ugent.be/', 'http://www.rug.ac.be/']",Belgium,BE,
Thierry Graduate School of Leadership,['thierryschool.org'],['http://www.thierryschool.org/'],Belgium,BE,
Universiteit Antwerpen,"['ua.ac.be', 'uantwerpen.be']",['http://www.ua.ac.be/'],Belgium,BE,
Universiteit Antwerpen Management School,['uams.be'],['http://www.uams.be/'],Belgium,BE,
United Business Institute,['ubi.edu'],['http://www.ubi.edu/'],Belgium,BE,
Université Catholique de Louvain,['ucl.ac.be'],['http://www.ucl.ac.be/'],Belgium,BE,
"Universiteit Antwerpen, UFSIA",['ufsia.ac.be'],['http://www.ufsia.ac.be/'],Belgium,BE,
Hasselt University,['uhasselt.be'],['http://www.uhasselt.be/'],Belgium,BE,
Université Libre de Bruxelles,"['ulb.be', 'ulb.ac.be']",['https://www.ulb.be/'],Belgium,BE,
Université de Mons-Hainaut,['umh.ac.be'],['http://www.umh.ac.be/'],Belgium,BE,
Vesalius College,['vesalius.edu'],['http://www.vesalius.edu/'],Belgium,BE,
"Hogeschool voor Wetenschap en Kunst (VLEKHO), Brussel",['vlekho.be'],['http://www.vlekho.be/'],Belgium,BE,
Vlerick Leuven Gent Management School,['vlerick.be'],['http://www.vlerick.be/'],Belgium,BE,
Vrije Universiteit Brussel,"['vub.ac.be', 'vub.be']",['http://www.vub.ac.be/'],Belgium,BE,
Hogeschool voor Wetenschap & Kunst,['wenk.be'],['http://www.wenk.be/'],Belgium,BE,
University College Odisee,['odisee.be'],['https://www.odisee.be/'],Belgium,BE,
Hogeschool Gent,['hogent.be'],['https://www.hogent.be/'],Belgium,BE,
Thomas More Hogeschool,['thomasmore.be'],['https://www.thomasmore.be/'],Belgium,BE,
"Academy of Music, Dance and Fine Arts",['amti.hit.bg'],['http://amti.hit.bg/'],Bulgaria,BG,
American University in Bulgaria,['aubg.bg'],['http://www.aubg.bg/'],Bulgaria,BG,
Agricultural University of Plovdiv,['au-plovdiv.bg'],['http://www.au-plovdiv.bg/'],Bulgaria,BG,
Bourgas Free University,['bfu.bg'],['http://www.bfu.bg/'],Bulgaria,BG,
"Bourgas University ""Prof. Assen Zlatarov""",['btu.bg'],['http://www.btu.bg/'],Bulgaria,BG,
City University Programs in Bulgaria,['cityu.bg'],['http://www.cityu.bg/'],Bulgaria,BG,
University of Forestry Sofia,['ltu.bg'],['http://www.ltu.bg/'],Bulgaria,BG,
Medical University Plovdiv,['meduniversity-plovdiv.bg'],['http://www.meduniversity-plovdiv.bg/'],Bulgaria,BG,
"University of Mining and Geology ""St. Ivan Rils""",['mgu.bg'],['http://www.mgu.bg/'],Bulgaria,BG,
Medical University Pleven,['mu-pleven.bg'],['http://www.mu-pleven.bg/'],Bulgaria,BG,
Medical University of Sofia,['mu-sofia.bg'],['http://www.mu-sofia.bg/'],Bulgaria,BG,
Medical University Varna,['mu-varna.bg'],['http://www.mu-varna.bg/'],Bulgaria,BG,
"National Academy for Theatre and Film Arts ""Krustju Sarafov""",['natfiz.bg'],['http://www.natfiz.bg/'],Bulgaria,BG,
New Bulgarian University,['nbu.bg'],['http://www.nbu.bg/'],Bulgaria,BG,
National Academy of Arts,['nha-bg.org'],['http://www.nha-bg.org/'],Bulgaria,BG,
"National Academy of Music ""Pantcho Vladigerov""",['nma.bg'],['http://www.nma.bg/'],Bulgaria,BG,
National Sports Academy Sofia,['nsa.bg'],['http://www.nsa.bg/'],Bulgaria,BG,
Military University Shoumen,['pv-ma.bg'],['http://www.pv-ma.bg/'],Bulgaria,BG,
University of Rousse,['ru.acad.bg'],['http://www.ru.acad.bg/'],Bulgaria,BG,
"Shoumen University ""Konstantin Preslavski""",['shu-bg.net'],['http://www.shu-bg.net/'],Bulgaria,BG,
"South-West University ""Neofit Rilski""",['swu.bg'],['http://www.swu.bg/'],Bulgaria,BG,
Technical University of Gabrovo,['tugab.bg'],['http://www.tugab.bg/'],Bulgaria,BG,
Technical University of Sofia,['tu-sofia.bg'],['http://www.tu-sofia.bg/'],Bulgaria,BG,
Technical University of Varna,['tu-varna.acad.bg'],['http://www.tu-varna.acad.bg/'],Bulgaria,BG,
"University of Architecture, Civil Engineering and Geodesy",['uacg.bg'],['http://www.uacg.bg/'],Bulgaria,BG,
University of Chemical Technology and Metallurgy,['uctm.edu'],['http://www.uctm.edu/'],Bulgaria,BG,
