BAS.INSTNAME,BAS.INSTNAMEENGL,GEO.SUBCOUNTRY,GEO.CITY,EXP.CURRPERSON.EURO,EXP.CURRNONPERSON.EURO,EXP.CURRTOTAL.EURO,REV.COREBUDGETPUBLIC.EURO,REV.CORETOTAL.EURO,REV.THIRDPARTYPUBLIC.EURO,REV.THIRDPARTYPRIVATE.EURO,REV.TUITFEES,REV.STUDFEES.EURO,PERS.ACAHCMEN,PERS.ACAHCWOMEN,PERS.ACAHCSENIORTOTAL,PERS.TOTALFTE,STUD.HIGHDEG,IND.RES.PHDINTENSITY
UniversitÃ¤t Bayreuth,University of Bayreuth,a,Bayreuth,169773778,57188264,226962042,,216091844,40362357,3891515,,337173,1306,698,281,2274,3,0.08977325312355391
Katholische UniversitÃ¤t EichstÃ¤tt-Ingolstadt (KU),Catholic University of EichstÃ¤tt-Ingolstadt,a,EichstÃ¤tt,57056964,14873263,71930227,,0,8117189,898844,,338441,371,342,119,723,3,0.04540162980209546
Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg,University of Erlangen-NÃ¼rnberg,a,Erlangen,404651299,158496615,563147914,,417431997,119607266,35396777,,58401,3076,1866,504,5400,3,0.1289900147323621
Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen,Ludwig Maximilian University of Munich,a,Munich,605453591,180778068,786231659,,629304022,110440583,19452114,,472208,2989,2793,671,6529,3,0.19921931473182014
Technische UniversitÃ¤t MÃ¼nchen,Technical University of Munich,a,Munich,684819059,329082126,1013901185,,708718991,251792113,101599848,,6628107,4595,2342,565,8786,3,0.12749397062047796
UniversitÃ¤t der Bundeswehr MÃ¼nchen,Bundeswehr University Munich,a,Neubiberg,124423931,75714547,200138478,,249654231,3860320,3029133,,3034683,865,364,205,1688,3,0.05716523101018011
UniversitÃ¤t Passau,University of Passau,a,Passau,81405253,23717428,105122681,,91720792,8235102,3388140,,21347,568,478,140,1116,3,0.052008238928939236
UniversitÃ¤t Regensburg,University of Regensburg,a,Regensburg,198678619,102783883,301462502,,247784356,43076928,9439900,,0,1773,1208,301,2877,3,0.12351688469729237
Julius-Maximilians-UniversitÃ¤t WÃ¼rzburg,University of WÃ¼rzburg,a,WÃ¼rzburg,276496857,123916234,400413091,,326642093,72732484,2770206,,1132628,2472,1658,378,3923,3,0.13922651933701657
Freie UniversitÃ¤t Berlin,Free University of Berlin,a,Berlin,369882610,145808256,515690866,,342194330,108631744,4950785,,5569160,2184,1961,530,4994,3,0.09989888776541962
Technische UniversitÃ¤t Berlin,Technical University of Berlin,a,Berlin,363921824,190337420,554259244,,353430167,127842857,26457082,,8932134,3037,1394,388,4887,3,0.09136345461815273
CharitÃ© - UniversitÃ¤tsmedizin Berlin,CharitÃ© - UniversitÃ¤tsmedizin Berlin,a,Berlin,,,,,,,,,,,,,,3,0.5062146892655367
Humboldt-UniversitÃ¤t zu Berlin,Humboldt University of Berlin,a,Berlin,307675453,133427318,441102771,,278785701,111013494,2508455,,3849191,1991,1605,515,4123,3,0.05675272029016428
ESCP-EAP EuropÃ¤ische Wirtschaftshochschule Berlin,ESCP-EAP European School of Management,a,Berlin,9599875,7864682,17464557,,0,428046,0,,6801443,48,20,25,122,3,s
European School of Management and Technology,,,,,,,,,,,,,,,,,,
Hertie School of Governance Berlin (Priv. wiss. H),Hertie School of Governance,a,Berlin,19399785,9308619,28708404,,0,2815411,1522044,,7322905,81,67,34,232,3,0.025157232704402517
Steinbeis-Hochschule (Priv. H),Steinbeis University,a,Magdeburg,15761614,6544231,22305845,,0,681037,275000,,20322719,275,67,69,238,3,s
Europa-UniversitÃ¤t Viadrina Frankfurt (Oder),Viadrina European University,a,Frankfurt (Oder),40255534,11162054,51417588,,43930770,2699670,473554,,1045437,239,288,78,516,3,0.039603960396039604
UniversitÃ¤t Potsdam,University of Potsdam,a,Potsdam,186158569,61088481,247247050,,195947465,40637332,5406056,,2222720,1530,1586,275,2694,3,0.09099966788442378
UniversitÃ¤t Bremen,University of Bremen,a,Bremen,265087715,93482789,358570504,,167967813,85529068,9998522,,2869911,1432,1079,311,3004,3,0.08726003490401396
Constructor University Bremen gGmbH (Priv. U),Constructor University Bremen gGmbH (Priv. U),a,Bremen,27125026,27693556,54818582,,0,6979685,2572623,,30568016,149,95,55,396,3,s
UniversitÃ¤t Hamburg,University of Hamburg,a,Hamburg,384134744,205323897,589458641,,408121982,133408404,9471036,,6279222,2824,2444,534,5364,3,0.1459137144861452
Technische UniversitÃ¤t Hamburg-Harburg,Hamburg University of Technology,a,Hamburg,126950660,40588303,167538963,,96445266,35598395,16405911,,824091,1220,405,101,1615,3,0.09605662285136501
Hafencity UniversitÃ¤t Hamburg,HafenCity University Hamburg,a,Hamburg,26205281,11166898,37372179,,29833954,6088796,1297004,,268193,163,142,36,318,3,0.036585365853658534
Helmut-Schmidt-UniversitÃ¤t Hamburg,Helmut Schmidt University of the Federal Armed Forces Hamburg,a,Hamburg,66974505,110722326,177696831,,185609503,4477517,3678783,,417786,667,309,116,1140,3,s
Bucerius Law School Hamburg (Priv. H),Bucerius Law School,a,Hamburg,13806741,8321573,22128314,,0,289619,0,,6718661,67,55,22,139,3,0.05338078291814947
Technische UniversitÃ¤t Darmstadt,Technical University of Darmstadt,a,Darmstadt,351278771,118934438,470213209,,378256869,134105601,24384826,,2811385,2524,962,336,4498,3,0.10858783607413208
Johann Wolfgang Goethe-UniversitÃ¤t Frankfurt am Main,Frankfurt University,a,Frankfurt am Main,371831422,163948557,535779979,,353466905,115147967,26799631,,5640624,2015,1448,600,4155,3,0.11592202863550112
Justus-Liebig-UniversitÃ¤t GieÃŸen,Justus Liebig University Giessen,a,GieÃŸen,310044750,135881502,445926252,,336402078,68117962,10792643,,3167041,1468,1480,363,3909,3,0.10526315789473684
UniversitÃ¤t Kassel,University of Kassel,a,Kassel,213668782,73273344,286942126,,216834819,50659494,10535609,,2469693,1530,1124,347,2784,3,0.047417698580489276
Philipps-UniversitÃ¤t Marburg,Philipps University of Marburg,a,Marburg,271084383,96961483,368045866,,294265547,44954775,17857389,,5179763,1228,1106,332,3224,3,0.16142270861833105
Frankfurt School of Finance & Management-HfB (Priv. H),Frankfurt School of Finance & Management-HfB (Priv. H),a,Frankfurt am Main,52358199,57581310,109939509,,0,5117284,1238688,,56731563,266,80,81,257,3,0.009900990099009901
EBS UniversitÃ¤t fÃ¼r Wirtschaft und Recht (Priv.),EBS University of Business and Law,a,Oestrich-Winkel,16838238,12067487,28905725,,0,1257670,0,,18988418,133,84,41,207,3,0.04684684684684685
UniversitÃ¤t Greifswald,University of Greifswald,a,Greifswald,87811081,40286341,128097422,,85551195,20188905,1681731,,560100,587,688,165,1204,3,0.17652027027027026
UniversitÃ¤t Rostock,University of Rostock,a,Rostock,133598658,41385495,174984153,,162088300,33380165,2612570,,299686,1022,618,233,1850,3,0.15730337078651685
Technische UniversitÃ¤t Carolo-Wilhelmina zu Braunschweig,Brunswick University of Technology,a,Braunschweig,254659006,99656780,354315786,,244527177,98557932,14526271,,749527,1772,944,243,3334,3,0.09035326086956522
Technische UniversitÃ¤t Clausthal,Clausthal University of Technology,a,Clausthal,75422425,31278347,106700772,,79247299,24386897,5765257,,140390,478,152,81,1010,3,0.12448132780082988
Georg-August-UniversitÃ¤t GÃ¶ttingen,Georg August GÃ¶ttingen University,a,GÃ¶ttingen,316943241,135867689,452810930,,293828748,82528626,12927919,,4339665,1689,1244,404,4107,3,0.16223841993886667
Gottfried Wilhelm Leibniz UniversitÃ¤t Hannover,University of Hannover,a,Hannover,333146228,151703566,484849794,,370283516,121755040,25715507,,1971049,2589,1283,334,4191,3,0.07200647249190939
Medizinische Hochschule Hannover,Hannover Medical School,a,Hannover,,,,,,,,,,264,333,52,2196,3,0.7401129943502824
TierÃ¤rztliche Hochschule Hannover,University of Veterinary Medicine Hannover,a,Hannover,76648681,37119020,113767701,,71673710,11518176,2056554,,349344,191,469,45,1085,3,0.592
Stiftung UniversitÃ¤t Hildesheim,University of Hildesheim,a,Hildesheim,61613045,13208700,74821745,,59747311,9662301,3346404,,1568815,445,543,101,839,3,0.029709655638082377
Leuphana UniversitÃ¤t LÃ¼neburg,Leuphana University of LÃ¼neburg,a,LÃ¼neburg,73544993,26912223,100457216,,73716706,12765387,644153,,1542497,642,557,166,1049,3,0.026151222285389426
Carl von Ossietzky UniversitÃ¤t Oldenburg,Carl von Ossietzky the University of Oldenburg,a,Oldenburg,182204837,71027164,253232001,,215165661,44138278,1435236,,752421,1171,998,229,2413,3,0.0514410798978475
UniversitÃ¤t OsnabrÃ¼ck,OsnabrÃ¼ck University,a,OsnabrÃ¼ck,119139126,51513727,170652853,,137042153,21944258,3983884,,477963,760,605,230,1541,3,0.05499340079190497
UniversitÃ¤t Vechta,University of Vechta,a,Vechta,35777384,12242750,48020134,,45710789,2585292,2206286,,137410,166,252,70,456,3,0.022779043280182234
RWTH Aachen,Aachen University,a,Aachen,616743718,325577321,942321039,,589857308,284929952,74576645,,1955171,4073,1649,385,8404,3,0.1282845977631047
UniversitÃ¤t Bielefeld,Bielefeld University,a,Bielefeld,227378521,94847426,322225947,,267573243,43601624,2886842,,1101094,1667,1667,340,3379,3,0.05846895720313442
Ruhr-UniversitÃ¤t Bochum,Ruhr-University Bochum,a,Bochum,390006327,257111233,647117560,,456769627,111711589,15055960,,424709,2943,2231,468,5362,3,0.09773123909249563
Rheinische Friedrich-Wilhelms-UniversitÃ¤t Bonn,University of Bonn,a,Bonn,359046877,195965648,555012525,,377202258,100573860,4718280,,0,2687,1961,481,4581,3,0.12392065344224037
Technische UniversitÃ¤t Dortmund,TU Dortmund University,a,Dortmund,277284435,111064570,388349005,,325067511,68427856,5362948,,123353,2300,1544,326,3816,3,0.06248486316299346
Heinrich-Heine-UniversitÃ¤t DÃ¼sseldorf,Heinrich Heine University DÃ¼sseldorf,a,DÃ¼sseldorf,183729668,128787323,312516991,,258422692,36382299,6028098,,0,1286,1162,219,2378,3,0.14338235294117646
UniversitÃ¤t Duisburg-Essen,University of Duisburg-Essen,a,Essen,310371487,293354535,603726022,,529989132,74836831,16580693,,844613,2130,1709,377,4053,3,0.10367957071674971
FernuniversitÃ¤t in Hagen,University of Hagen,a,Hagen,98019726,33430999,131450725,,126578677,4809610,69140,,16874556,670,550,99,1321,3,0.013248847926267281
UniversitÃ¤t zu KÃ¶ln,University of Cologne,a,Cologne,371285012,148432707,519717719,,605091652,91653617,2714984,,747348,2627,2617,485,4894,3,0.10754391016412324
Deutsche Sporthochschule KÃ¶ln,German Sport University Cologne,a,Cologne,43287180,30372740,73659920,,58988818,5749599,4619170,,221159,340,283,32,584,3,0.04195804195804196
WestfÃ¤lische Wilhelms-UniversitÃ¤t MÃ¼nster,University of MÃ¼nster,a,MÃ¼nster,363176572,192210113,555386685,,442017271,87448109,5332541,,2862051,2359,1726,525,4825,3,0.10750828649661334
UniversitÃ¤t Paderborn,University of Paderborn,a,Paderborn,191677604,70249715,261927319,,234082974,45533572,4497696,,81967,1458,1269,268,2475,3,0.03762251027505533
UniversitÃ¤t Siegen,University of Siegen,a,Siegen,156221770,62515370,218737140,,188454614,36404485,2588499,,202107,1240,856,234,1977,3,0.05010511562718991
Bergische UniversitÃ¤t Wuppertal,University of Wuppertal,a,Wuppertal,171303947,69773150,241077097,,198704675,36703113,5154855,,119172,1492,1151,269,2310,3,0.04934687953555878
UniversitÃ¤t Witten/Herdecke,University Witten/Herdecke,a,Witten-Herdecke,22796807,14077213,36874020,,0,2460000,1144000,,6785989,588,508,75,659,3,0.4197183098591549
Deutsche Hochschule der Polizei,,,,,,,,,,,,,,,,,,
Technische UniversitÃ¤t Kaiserslautern,University of Kaiserslautern,a,Kaiserslautern,206504336,70780549,277284885,,209965386,60835870,6913769,,4444992,1991,1330,293,2943,3,0.027696464760189148
UniversitÃ¤t Koblenz,University of Koblenz,a,Koblenz,43319225,9966436,53285661,,41138949,8085693,609235,,3401105,422,419,97,649,3,0.014468558708959377
Johannes Gutenberg-UniversitÃ¤t Mainz,Johannes Gutenberg University Mainz,a,Mainz,282042845,91416063,373458908,,275660091,88560554,2847850,,1242500,2181,1796,451,3887,3,0.11857464673356544
Deutsche UniversitÃ¤t fÃ¼r Verwaltungswissenschaften Speyer,German University of Administrative Sciences Speyer,a,Speyer,8139145,2415663,10554808,,8645547,1043847,2500,,53790,97,53,17,120,3,0.12280701754385964
UniversitÃ¤t Trier,University of Trier,a,Trier,86196026,21672706,107868732,,88388933,11391081,889092,,926741,643,517,180,1202,3,0.005398110661268556
WHU â€“ Otto Beisheim School of Management,WHU â€“ Otto Beisheim School of Management,a,Vallendar,33762272,23680677,57442949,,0,313025,1881585,,24867293,159,84,61,372,3,0.06315789473684211
UniversitÃ¤t des Saarlandes SaarbrÃ¼cken,Saarland University,a,SaarbrÃ¼cken,218696229,137632804,356329033,,298796986,35922645,17459078,,2995729,1113,860,236,2274,3,0.040256709451575265
Technische UniversitÃ¤t Chemnitz,Chemnitz University of Technology,a,Chemnitz,152938523,35782876,188721399,,144314461,53829844,3272665,,392629,1602,886,174,2091,3,0.056393076493579004
Technische UniversitÃ¤t Dresden,Technische UniversitÃ¤t Dresden,a,Dresden,446751209,158129882,604881091,,390558985,214418791,28353977,,1579320,3631,2031,466,6286,3,0.1548289302728454
Technische UniversitÃ¤t Bergakademie Freiberg,Technische UniversitÃ¤t Bergakademie Freiberg,a,Freiberg,101505637,38872795,140378432,,117680455,40366509,6627445,,322340,963,419,94,1405,3,0.12305295950155763
UniversitÃ¤t Leipzig,Leipzig University,a,Leipzig,270270505,97801284,368071789,,237362584,87801988,4096211,,484442,2107,2078,393,3704,3,0.11540041067761807
HHL Leipzig Graduate School of Management,HHL Leipzig Graduate School of Management,a,Leipzig,7988252,3847131,11835383,,0,2831558,711293,,5676156,42,23,16,111,3,0.1511627906976744
Martin-Luther-UniversitÃ¤t Halle-Wittenberg,Martin Luther University,a,Halle (Saale),177901874,56623742,234525616,,183276224,36735742,2591211,,635741,1392,1172,304,2517,3,0.08992372541148133
Otto-von-Guericke-UniversitÃ¤t Magdeburg,Otto von Guericke University of Magdeburg,a,Magdeburg,121195661,54941737,176137398,,145010296,36817301,5980589,,199688,1032,536,156,1719,3,0.11147540983606558
Europa-UniversitÃ¤t Flensburg,University of Flensburg,a,Flensburg,42760806,9073575,51834381,,45465559,4796595,297662,,200960,270,421,91,587,3,0.010169491525423728
Christian-Albrechts-UniversitÃ¤t zu Kiel,University of Kiel,a,Kiel,240812463,78298103,319110566,,270143716,56612630,15395392,,481343,1959,1627,475,3474,3,0.11046511627906977
UniversitÃ¤t LÃ¼beck,University of LÃ¼beck,a,LÃ¼beck,60344828,19728175,80073003,,78543986,14164904,1161417,,207445,359,179,61,716,3,s
UniversitÃ¤t Erfurt,University of Erfurt,a,Erfurt,50295931,17347728,67643659,,51758848,7615974,700303,,234913,400,555,103,747,3,0.022179974651457542
Technische UniversitÃ¤t Ilmenau,Ilmenau University of Technology,a,Ilmenau,93607786,27294267,120902053,,83582899,24856362,4308314,,541046,768,295,102,1301,3,0.083223249669749
Friedrich-Schiller-UniversitÃ¤t Jena,Friedrich-Schiller-University of Jena,a,Jena,238532832,83586673,322119505,,244380334,65310717,6820946,,833820,1924,1525,329,3329,3,0.1917494270435447
Bauhaus-UniversitÃ¤t Weimar,Bauhaus-UniversitÃ¤t Weimar,a,Weimar,61916019,25583726,87499745,,67743705,11999018,1041380,,347763,474,330,85,876,3,0.06205923836389281
PÃ¤dagogische Hochschule Freiburg i.Br.,University of Education Freiburg,a,Freiburg im Breisgau,32597163,8341714,40938877,,36270021,3630234,160582,,923250,197,323,79,433,3,s
PÃ¤dagogische Hochschule Heidelberg,University of Education Heidelberg,a,Heidelberg,27302096,5275407,32577503,,29887513,4961737,0,,726420,211,304,71,397,3,s
PÃ¤dagogische Hochschule Karlsruhe,University of Education Karlsruhe,a,Karlsruhe,22489624,6572058,29061682,,24586487,2217848,225371,,719207,161,286,52,330,3,s
PÃ¤dagogische Hochschule Ludwigsburg,University of Education Ludwigsburg,a,Ludwigsburg,31735340,6431491,38166831,,38094186,2496570,173013,,1000844,251,282,83,410,3,0.0065986802639472104
PÃ¤dagogische Hochschule SchwÃ¤bisch GmÃ¼nd,University of Education SchwÃ¤bisch GmÃ¼nd,a,SchwÃ¤bisch GmÃ¼nd,21083718,4932664,26016382,,23292754,1434400,532681,,533167,105,161,56,268,3,s
PÃ¤dagogische Hochschule Weingarten,University of Education Weingarten,a,Weingarten,18541820,5202852,23744672,,20400428,1723535,1618,,563020,159,206,44,269,3,s
Hochschule fÃ¼r Philosophie MÃ¼nchen (rk),Munich School of Philosophy,a,Munich,3233809,1280459,4514268,,0,506083,980699,,205978,32,14,10,38,3,0.13846153846153847
Augustana-Hochschule Neuendettelsau (ev),Augustana-Hochschule Neuendettelsau (ev),a,Neuendettelsau,3235561,851214,4086775,,0,991781,24649,,4550,11,8,8,42,3,s
Philosophisch-Theologische Hochschule Frankfurt a.M. (rk),Philosophisch-Theologische Hochschule Frankfurt a.M. (rk),a,Frankfurt am Main,3413325,1703736,5117061,,0,206944,745148,,102119,39,18,17,41,3,s
Theologische FakultÃ¤t Fulda (rk),Fulda Faculty of Theology,a,Fulda,1743061,261491,2004552,,0,0,0,,281,11,1,10,22,3,s
Theologische FakultÃ¤t Paderborn (rk),Faculty of Theology in Paderborn,a,Paderborn,2534788,542513,3077301,,0,0,0,,0,22,5,13,35,3,s
KÃ¶lner Hochschule fÃ¼r Katholische Theologie,Cologne University of Catholic Theology,a,Cologne,1737631,962806,2700437,,0,65084,0,,34793,25,6,5,19,3,s
Kirchliche Hochschule Wuppertal / Bethel (ev),Kirchliche Hochschule Wuppertal / Bethel (ev),a,Wuppertal,2326902,1547410,3874312,,0,196776,242165,,0,14,19,7,29,3,s
Theologische FakultÃ¤t Trier,Faculty of Theology Trier,a,Trier,3051204,372482,3423686,,0,89977,0,,100,21,9,12,26,3,s
Theologische Hochschule Vallendar,College of Philosophy and Theology,,,,,,,,,,,,,,,,,
Staatliche Hochschule fÃ¼r Musik Freiburg i.Br.,University of Music Freiburg,a,Freiburg im Breisgau,12737036,2476523,15213559,,14777490,328490,10000,,129496,192,98,64,166,3,s
Staatliche Akademie der Bildenden KÃ¼nste Karlsruhe,State Academy of Fine Arts Karlsruhe,a,Karlsruhe,4658016,1798631,6456647,,6432069,29955,0,,138083,28,21,23,61,3,s
Staatliche Hochschule fÃ¼r Gestaltung Karlsruhe,Karlsruhe College of Arts and Design,a,Karlsruhe,6095794,2074681,8170475,,7681856,63674,276708,,264775,19,26,16,56,3,s
Staatliche Hochschule fÃ¼r Musik Karlsruhe,University of Music Karlsruhe,a,Karlsruhe,10468818,2825787,13294605,,12295013,223592,259498,,485831,148,96,53,142,3,s
Staatliche Hochschule fÃ¼r Musik und Darstellende Kunst Mannheim,Mannheim University of Music and Performing Arts,a,Mannheim,10995344,3063030,14058374,,13627311,9866,0,,236805,120,87,63,133,3,
Staatliche Akademie der Bildenden KÃ¼nste Stuttgart,Stuttgart State Academy of Art and Design,a,Stuttgart,12675657,5071594,17747251,,17315032,300980,227362,,0,120,125,55,162,3,s
Staatliche Hochschule fÃ¼r Musik und Darstellende Kunst Stuttgart,State University of Music and the Performing Arts Stuttgart,a,Stuttgart,14271351,7644865,21916216,,21318902,91768,4825,,710006,269,230,82,232,3,s
Staatliche Hochschule fÃ¼r Musik Trossingen,Trossingen School of Music,a,Trossingen,8654687,4984088,13638775,,12517444,359390,0,,188916,97,61,44,101,3,s
Hochschule fÃ¼r Musik und Theater MÃ¼nchen,University of Music and Performing Arts Munich,a,Munich,25179327,5904993,31084320,,28482467,738464,2500,,262483,302,210,97,292,3,s
Hochschule fÃ¼r Musik WÃ¼rzburg,University of Music WÃ¼rzburg,a,WÃ¼rzburg,11923455,2815711,14739166,,15047357,139971,0,,109599,163,91,54,149,3,s
UniversitÃ¤t der KÃ¼nste Berlin,Berlin University of the Arts,a,Berlin,58597695,15474262,74071957,,69653104,1934000,943000,,729828,775,808,243,909,3,0.010650887573964497
FilmuniversitÃ¤t Babelsberg Konrad Wolf,Film University Babelsberg Konrad Wolf,a,Potsdam,19140670,7858144,26998814,,25162641,2812641,218775,,127892,91,92,56,247,3,s
Hochschule fÃ¼r Bildende KÃ¼nste Hamburg,University of Fine Arts of Hamburg,a,Hamburg,9000409,5424378,14424787,,13434132,0,0,,84548,44,40,40,103,3,s
Hochschule fÃ¼r Musik und Theater Hamburg,Hamburg University of Music and Theater,a,Hamburg,18208995,5215499,23424494,,20512476,1008209,688478,,681521,277,194,53,262,3,s
Hochschule fÃ¼r Musik und Darstellende Kunst Frankfurt a.M.,Frankfurt University of Music and Performing Arts,a,Frankfurt am Main,16574080,8090399,24664479,,20300374,565590,81,,187727,226,164,72,227,3,
Hochschule fÃ¼r Gestaltung Offenbach,Offenbach Academy of Art and Design,a,Offenbach am Main,9871693,5713990,15585683,,14374041,436356,309885,,89539,67,59,27,129,3,s
Hochschule fÃ¼r Musik und Theater,,,,,,,,,,,,,,,,,,
Hochschule fÃ¼r Bildende KÃ¼nste Braunschweig,Braunschweig University of Art,a,Braunschweig,12516640,4401800,16918440,,16938753,414690,0,,65917,58,84,52,160,3,0.05714285714285714
Hochschule fÃ¼r Musik,,,,,,,,,,,,,,,,,,
Hochschule fÃ¼r Musik Detmold,Detmold Music School,a,Detmold,11469902,7560097,19029999,,16328496,0,0,,96300,135,111,57,185,3,s
Kunstakademie DÃ¼sseldorf,Kunstakademie DÃ¼sseldorf,a,DÃ¼sseldorf,10507628,5556173,16063801,,15683635,269639,117300,,0,52,50,33,110,3,s
Robert-Schumann-Hochschule DÃ¼sseldorf,Robert Schumann School of Music and Media,a,DÃ¼sseldorf,13518889,9103450,22622339,,13261510,266906,780051,,0,211,93,45,163,3,s
Folkwang UniversitÃ¤t der KÃ¼nste,Folkwang University of the Arts,a,Essen,25966109,18212628,44178737,,41552520,201494,0,,1088691,270,181,90,333,3,s
Kunsthochschule fÃ¼r Medien KÃ¶ln,Academy of Media Arts,a,Cologne,11246221,7990667,19236888,,19339228,146993,0,,0,36,26,31,125,3,s
Hochschule fÃ¼r Musik und Tanz KÃ¶ln,Cologne University of Music and Dance,a,Cologne,24966120,12129173,37095293,,36831771,92133,35250,,177828,274,188,115,299,3,s
Kunstakademie MÃ¼nster,Academy of Fine Arts MÃ¼nster,a,MÃ¼nster,5646433,3024933,8671366,,8886086,7350,0,,3982,36,31,21,67,3,s
Hochschule fÃ¼r Musik,,,,,,,,,,,,,,,,,,
Hochschule fÃ¼r Bildende KÃ¼nste Dresden,Dresden Academy of Fine Arts,a,Dresden,8842006,4127211,12969217,,12144062,286903,110667,,68064,67,85,33,122,3,s
Hochschule fÃ¼r Musik Carla Maria von Weber Dresden,University of Music Carl Maria von Weber Dresden,a,Dresden,12213296,3700992,15914288,,15357874,235270,25703,,446097,250,173,67,175,3,s
Hochschule fÃ¼r Musik und Theater Leipzig,University of Music & Theatre Leipzig,a,Leipzig,15007007,6108102,21115109,,21689926,391415,27402,,43120,285,189,77,248,3,s
Burg Giebichenstein Kunsthochschule Halle,Burg Giebichenstein University of Art and Design Halle,a,Halle (Saale),15765643,5359986,21125629,,20405995,189801,40160,,132903,106,148,50,235,3,s
Muthesius Kunsthochschule Kiel,Muthesius Academy of Fine Arts and Design,a,Kiel,7301087,3453943,10755030,,10209601,150577,261634,,1940,60,62,26,100,3,s
Musikhochschule LÃ¼beck,University of Music LÃ¼beck,a,LÃ¼beck,8587336,3850404,12437740,,11325817,635831,204135,,207700,117,61,38,115,3,s
Hochschule fÃ¼r Musik Franz Liszt Weimar,University of Music Franz Liszt Weimar,a,Weimar,15705682,6648619,22354301,,19762213,67131,137830,,161832,357,181,65,271,3,s
Technische Hochschule Brandenburg,Brandenburg University of Applied Sciences,a,Brandenburg,18425430,7916138,26341568,,21555219,2015712,1986209,,437445,165,92,61,261,3,s
Hochschule fÃ¼r Angewandte Wissenschaften Hamburg,Hamburg University of Applied Sciences,a,Hamburg,107763796,33769770,141533566,,116178600,15482059,1842888,,1873134,1025,660,396,1437,3,s
Hochschule Fulda,Fulda University of Applied Sciences,a,Fulda,60227520,17467178,77694698,,48228901,7124164,127937,,1952166,364,427,168,788,3,s
Hochschule RheinMain,RheinMain University of Applied Sciences,a,Wiesbaden,75613162,29151155,104764317,,110911347,5343682,324770,,1721365,624,316,268,1006,3,s
Fachhochschule Aachen,Aachen University of Applied Sciences,a,Aachen,76517578,55914734,132432312,,148468953,8999640,2198916,,1957733,785,330,233,1000,3,s
Fachhochschule Bielefeld,Bielefeld University of Applied Sciences,a,Bielefeld,66195924,41840977,108036901,,91964643,12437663,1240893,,963663,568,416,230,869,3,s
Hochschule Bochum,Bochum University of Applied Sciences,a,Bochum,40188090,24560545,64748635,,61168291,4305535,1923185,,130585,420,221,151,563,3,s
Hochschule Bonn-Rhein-Sieg,University of Applied Sciences Bonn-Rhein-Sieg,a,Sankt Augustin,56597932,20809684,77407616,,67694687,8036745,685558,,179290,553,335,145,739,3,s
Fachhochschule Dortmund,Dortmund University of Applied Sciences and Arts,a,Dortmund,67715226,31645234,99360460,,93962372,6228625,1152265,,14400,649,352,215,893,3,s
Hochschule DÃ¼sseldorf,DÃ¼sseldorf University of Applied Sciences,a,DÃ¼sseldorf,61142017,40761402,101903419,,108970764,5410034,1603908,,0,540,356,186,790,3,s
WestfÃ¤lische Hochschule Gelsenkirchen Bocholt Recklinghausen,WestfÃ¤lische Hochschule Gelsenkirchen Bocholt Recklinghausen,a,Gelsenkirchen,53761612,22892644,76654256,,68898023,6773290,814256,,0,489,196,177,686,3,s
Technische Hochschule KÃ¶ln,Cologne University of Applied Sciences,a,Cologne,131312990,64081668,195394658,,167431380,20485612,4312791,,589827,1218,818,389,1819,3,s
Hochschule Ostewestfalen-Lippe,Ostwestfalen-Lippe University of Applied Sciences,a,Lemgo,53174338,25331346,78505684,,63643369,7482377,1343751,,6045,503,228,159,704,3,s
Hochschule Niederrhein,Niederrhein University of Applied Sciences,a,MÃ¶nchengladbach,69336492,43514152,112850644,,111768929,12046718,2490687,,485662,641,639,245,1022,3,s
Fachhochschule SÃ¼dwestfalen,South Westphalia University of Applied Sciences,a,Hagen,66603825,33249964,99853789,,91762246,9211183,1273994,,16714,541,292,176,874,3,s
Technische FH (TFH) Georg Agricola zu Bochum (Priv. FH),Georg Agricola University of Applied Sciences,a,Bochum,13525786,7107720,20633506,,0,1308223,558659,,0,167,43,40,221,3,s
Evangelische Hochschule Rheinland-Westfalen-Lippe,Rheinland-Westfalen-Lippe Protestant University of Applied Sciences,a,Bochum,11018133,1165649,12183782,,0,363778,0,,26059,108,120,61,175,3,s
Hochschule fÃ¼r Technik und Wirtschaft Dresden,Dresden University of Applied Sciences,a,Dresden,45997366,12274606,58271972,,64986652,6494615,582333,,82621,330,146,161,615,3,s
Hochschule fÃ¼r Technik,,,,,,,,,,,,,,,,,,
Hochschule Zittau/GÃ¶rlitz (FH),Zittau/GÃ¶rlitz University of Applied Sciences,a,Zittau,32196759,7700818,39897577,,33060960,6252514,1199184,,111314,234,133,106,449,3,s
Evangelische Hochschule fÃ¼r Soziale Arbeit,,,,,,,,,,,,,,,,,,
Hochschule Anhalt (FH),Anhalt University of Applied Sciences,a,KÃ¶then,49076233,15406824,64483057,,54968892,7644965,678901,,4161649,499,249,145,689,3,s
Hochschule Harz (FH),Harz University of Applied Sciences,a,Wernigerode,19791260,8113023,27904283,,24453847,3660841,397054,,345673,145,65,69,268,3,s
Hochschule Magdeburg-Stendal (FH),Magdeburg-Stendal University of Applied Sciences,a,Magdeburg,37540625,13531424,51072049,,41768605,9682580,961362,,731073,392,327,131,561,3,s
