BAS.INSTNAME,BAS.INSTNAMEENGL,GEO.SUBCOUNTRY,GEO.CITY,EXP.CURRPERSON.EURO,EXP.CURRNONPERSON.EURO,EXP.CURRTOTAL.EURO,REV.COREBUDGETPUBLIC.EURO,REV.CORETOTAL.EURO,REV.THIRDPARTYPUBLIC.EURO,REV.THIRDPARTYPRIVATE.EURO,REV.TUITFEES,REV.STUDFEES.EURO,PERS.ACAHCMEN,PERS.ACAHCWOMEN,PERS.ACAHCSENIORTOTAL,PERS.TOTALFTE,STUD.HIGHDEG,IND.RES.PHDINTENSITY
Charlotte Fresenius PrivatuniversitÃ¤t,University of Sustainability - Charlotte Fresenius PrivatuniversitÃ¤t,a,Vienna,,,,,,,,,,4,1,0,8,3,a
UniversitÃ© de Namur,University of Namur,French Community,Namur,,,,,,,,,,,,,,3,
UniversitÃ© catholique de Louvain,UCLouvain,French Community,Louvain-La-Neuve,,,,,,,,,,,,,,3,
UniversitÃ© de LiÃ¨ge,University of LiÃ¨ge,French Community,LiÃ¨ge,,,,,,,,,,,,,,3,
UniversitÃ© de Mons,University of Mons,French Community,Mons,,,,,,,,,,,,,,3,
UniversitÃ© libre de Bruxelles,ULB,French Community,Brussels,,,,,,,,,,,,,,3,
Katholieke Universiteit Leuven,KU Leuven,Flemish Community,Leuven,859088277.7699999,375808857.2699999,1268048126.9099996,706901309.4400003,830883843.4200003,158053054.24,266694089.23999995,2,63873623.300000004,2971,1795,552,12350.11,3,0.06433742524394083
Transnationale Universiteit Limburg,Transnational University Limburg,Flemish Community,Diepenbeek,,,,,,,,2,,,,,,3,0.05938242280285035
Universiteit Hasselt,Hasselt University,Flemish Community,Diepenbeek,102725083.16000001,36722396.07000001,134929290.35000002,101944380.49999999,119637900.14999999,17880605.099999998,6744500.970000001,2,5495348.44,397,228,65,1494.45,3,0.059743954480796585
Universiteit Antwerpen,University of Antwerp,Flemish Community,Antwerp,290930964,94402440,385732602,254630969,277692467,48962157,24245437,2,24504447,1078,684,155,4018.7,3,0.07030772366007744
