country,winter,min_winter_full,days,storage_stress,storage_at_start,storage_trend_30d,storage_volatility,vol_x_start
AT,2014.0,16.49,151,1,95.67741935483869,-1.7600000000000051,6.013984634667558,575.4025298846443
AT,2015.0,36.17,152,0,74.72322580645161,1.5499999999999972,6.013984634667558,449.38433185279433
AT,2016.0,14.59,151,1,89.32193548387097,-2.8900000000000006,6.013984634667558,537.180747538767
AT,2017.0,14.47,151,1,84.64290322580645,5.019999999999996,6.013984634667558,509.0411194336531
AT,2018.0,44.0,151,0,72.65709677419356,6.740000000000009,6.013984634667558,436.9586635995539
AT,2019.0,73.36,152,0,99.91516129032257,-1.2800000000000011,6.013984634667558,600.8882447703307
AT,2020.0,24.61,151,1,90.86258064516129,0.269999999999996,6.013984634667558,546.4461638662418
AT,2021.0,12.38,151,1,56.13451612903226,2.6099999999999994,6.013984634667558,337.5921174744982
AT,2022.0,65.85,151,0,86.5167741935484,13.049999999999997,6.013984634667558,520.3105506410028
AT,2023.0,73.13,152,0,97.23225806451613,4.450000000000003,6.013984634667558,584.7533059940308
AT,2024.0,42.97,151,0,93.55258064516133,1.5700000000000074,6.013984634667558,562.6237825334979
BE,2014.0,17.22,151,1,95.54741935483871,-2.780000000000001,5.9389098788677845,567.4475127067745
BE,2015.0,16.1,152,1,57.21419354838711,5.420000000000002,5.9389098788677845,339.7899392759697
BE,2016.0,14.25,151,1,84.90774193548386,0.9899999999999949,5.9389098788677845,504.25942737300153
BE,2017.0,2.04,151,1,79.2983870967742,7.070000000000007,5.9389098788677845,470.94597450731396
BE,2018.0,26.04,151,1,52.93645161290323,3.479999999999997,5.9389098788677845,314.3848154360774
BE,2019.0,62.67,152,0,97.16258064516128,-0.28000000000000114,5.9389098788677845,577.0398100498362
BE,2020.0,21.38,151,1,97.53516129032258,-0.18999999999999773,5.9389098788677845,579.2525329240594
BE,2021.0,12.71,151,1,90.5658064516129,5.77000000000001,5.9389098788677845,537.8621626231115
BE,2022.0,27.76,151,1,111.68096774193549,11.72999999999999,5.9389098788677845,663.263202604095
BE,2023.0,51.02,152,0,99.39580645161291,6.560000000000002,5.9389098788677845,590.3027368535141
BE,2024.0,30.36,151,0,96.6641935483871,3.8500000000000085,5.9389098788677845,574.0799339973038
BG,2014.0,30.76,151,0,83.32032258064515,4.5,9.515488674083782,792.8335858371362
BG,2015.0,27.17,152,1,77.57645161290324,10.090000000000003,9.515488674083782,738.1778466981893
BG,2016.0,28.03,151,1,79.88419354838707,4.6499999999999915,9.515488674083782,760.1371389479939
BG,2017.0,26.17,151,1,79.14967741935483,4.5800000000000125,9.515488674083782,753.1478590412557
BG,2018.0,24.87,151,1,84.13322580645163,-0.010000000000005116,9.515488674083782,800.5687572754239
BG,2019.0,32.47,152,0,98.54548387096773,2.780000000000001,9.515488674083782,937.7084356562995
BG,2020.0,12.37,151,1,96.89096774193548,-2.789999999999992,9.515488674083782,921.9649061694042
BG,2021.0,16.83,151,1,74.11774193548388,4.400000000000006,9.515488674083782,705.2665339357615
BG,2022.0,77.54,151,0,83.2041935483871,14.299999999999997,9.515488674083782,791.7285613459524
BG,2023.0,44.27,152,0,96.75677419354837,1.4399999999999977,9.515488674083782,920.6879889795914
BG,2024.0,34.03,151,0,97.58580645161295,5.930000000000007,9.515488674083782,928.5766360416551
CZ,2014.0,21.48,151,1,101.01903225806451,-0.19999999999998863,11.510201125526105,1162.7493787963322
CZ,2015.0,35.88,152,0,95.48161290322581,-4.890000000000001,11.510201125526105,1099.0125683057577
CZ,2016.0,27.25,151,1,99.46612903225805,-1.9200000000000017,11.510201125526105,1144.8751503388214
CZ,2017.0,21.37,151,1,96.32677419354839,2.700000000000003,11.510201125526105,1108.7405447408796
CZ,2018.0,37.45,151,0,91.09032258064518,3.0,11.510201125526105,1048.4679334922782
CZ,2019.0,43.53,152,0,97.5409677419355,-0.01999999999999602,11.510201125526105,1122.7161566881316
CZ,2020.0,28.25,151,1,97.78935483870968,-1.0800000000000125,11.510201125526105,1125.5751421289879
CZ,2021.0,24.34,151,1,86.56290322580647,1.1599999999999966,11.510201125526105,996.356426138485
CZ,2022.0,55.94,151,0,89.85548387096775,8.460000000000008,11.510201125526105,1034.2546915863059
CZ,2023.0,63.78,152,0,98.0841935483871,1.990000000000009,11.510201125526105,1128.9687949769657
CZ,2024.0,33.7,151,0,92.95645161290322,-1.5,11.510201125526105,1069.9474539797516
DE,2014.0,31.89,151,0,94.73258064516129,4.329999999999998,4.184449250568917,396.4036760851046
DE,2015.0,51.21,152,0,79.81645161290321,2.1199999999999903,4.184449250568917,333.987891134683
DE,2016.0,26.65,151,1,94.97451612903225,0.9300000000000068,4.184449250568917,397.4160428392745
DE,2017.0,14.18,151,1,90.76935483870969,7.259999999999991,4.184449250568917,379.81975882946284
DE,2018.0,53.55,151,0,84.7041935483871,7.560000000000002,4.184449250568917,354.44039921359285
DE,2019.0,71.81,152,0,99.00838709677419,0.9200000000000017,4.184449250568917,414.29557118713393
DE,2020.0,25.39,151,1,94.81290322580647,-0.4299999999999926,4.184449250568917,396.7397818474891
DE,2021.0,24.46,151,1,71.37064516129033,4.189999999999998,4.184449250568917,298.6468426577814
DE,2022.0,63.58,151,0,95.76483870967742,7.1000000000000085,4.184449250568917,400.72310756956284
DE,2023.0,62.78,152,0,98.06903225806451,3.6099999999999994,4.184449250568917,410.36488853627696
DE,2024.0,28.69,151,1,97.18322580645162,1.9699999999999989,4.184449250568917,406.65827639367626
DK,2014.0,26.08,151,1,96.86612903225806,1.8100000000000023,12.01455340755624,1163.8032806412984
DK,2015.0,38.52,152,0,83.64548387096774,2.980000000000004,12.01455340755624,1004.9631332686259
DK,2016.0,21.75,151,1,96.96774193548384,31.230000000000004,12.01455340755624,1165.0241142940015
DK,2017.0,13.97,151,1,94.27064516129033,4.840000000000003,12.01455340755624,1132.619701055106
DK,2018.0,54.42,151,0,88.03,9.909999999999997,12.01455340755624,1057.6411364671758
DK,2019.0,64.12,152,0,97.33741935483872,0.06999999999999318,12.01455340755624,1169.4656233924084
DK,2020.0,35.07,151,0,94.28967741935482,3.740000000000009,12.01455340755624,1132.8483651360882
DK,2021.0,36.55,151,0,82.4706451612903,-0.8700000000000045,12.01455340755624,990.8479708459421
DK,2022.0,71.27,151,0,99.21354838709678,1.9399999999999977,12.01455340755624,1192.0064758499395
DK,2023.0,57.25,152,0,96.11064516129032,6.109999999999999,12.01455340755624,1154.7264793250092
DK,2024.0,27.1,151,1,70.78903225806452,10.219999999999999,12.01455340755624,850.4986087337378
ES,2014.0,63.13,151,0,99.69451612903224,1.4300000000000068,1.364456676656282,136.02884815827542
ES,2015.0,52.95,152,0,76.4490322580645,0.27000000000001023,1.364456676656282,104.3113924884276
ES,2016.0,55.47,151,0,73.18161290322581,-3.549999999999997,1.364456676656282,99.85314033428197
ES,2017.0,55.42,151,0,76.64161290322582,4.159999999999997,1.364456676656282,104.57416043551272
ES,2018.0,59.46,151,0,74.80354838709677,2.5,1.364456676656282,102.06620103435544
ES,2019.0,70.31,152,0,90.67193548387098,5.829999999999998,1.364456676656282,123.7179277563154
ES,2020.0,59.73,151,0,94.7983870967742,0.09000000000000341,1.364456676656282,129.3482922104403
ES,2021.0,57.93,151,0,77.88967741935484,9.189999999999998,1.364456676656282,106.27709039744276
ES,2022.0,77.99,151,0,92.56096774193547,4.509999999999991,1.364456676656282,126.2954304332506
ES,2023.0,78.95,152,0,100.41096774193547,0.0,1.364456676656282,137.0064153450024
ES,2024.0,61.23,151,0,100.22354838709673,-0.010000000000005116,1.364456676656282,136.75068975495807
FR,2014.0,16.95,151,1,92.10000000000001,3.470000000000013,11.074972989993636,1020.005012378414
FR,2015.0,21.4,152,1,86.78064516129032,1.019999999999996,11.074972989993636,961.0933012155123
FR,2016.0,19.87,151,1,90.38774193548389,2.4099999999999966,11.074972989993636,1001.0418005619991
FR,2017.0,2.9,151,1,74.52516129032257,1.6799999999999926,11.074972989993636,825.3641483652418
FR,2018.0,24.79,151,1,92.2393548387097,4.570000000000007,11.074972989993636,1021.5483634531488
FR,2019.0,29.46,152,1,98.83451612903225,-0.07000000000000739,11.074972989993636,1094.5895966081225
